id	modified	language	institutionCode	collectionCode	basisOfRecord	occurrenceID	catalogNumber	recordedBy	eventDate	year	month	day	continent	country	countryCode	stateProvince	county	locality	minimumElevationInMeters	maximumElevationInMeters	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	scientificName	kingdom	phylum	class	order	family	genus	specificEpithet	infraspecificEpithet	scientificNameAuthorship
urn:catalog:OBSNEV:MIGRAME:MIG-T001a-23682	2015-02-26 05:52:29.421911	es	OBSNEV	MIGRAME	humanObservation	urn:catalog:OBSNEV:MIGRAME:MIG-T001a-23682	MIG-T001a-23682	Navarro-González I, Pérez-Luque AJ	2012-09-10	2012	9	10	Europe	España	ESP	GR	CAÑAR	Robledal de Cañar. Loma de Cañar	1904	1904	36.96562	-3.42284	EPSG:4326	5	Quercus pyrenaica Willd.	Plantae	Magnoliophyta	Magnoliopsida	Fagales	Fagaceae	Quercus	pyrenaica		Willd.
urn:catalog:OBSNEV:MIGRAME:MIG-T001a-23683	2015-02-26 05:52:29.452862	es	OBSNEV	MIGRAME	humanObservation	urn:catalog:OBSNEV:MIGRAME:MIG-T001a-23683	MIG-T001a-23683	Navarro-González I, Pérez-Luque AJ	2012-09-10	2012	9	10	Europe	España	ESP	GR	CAÑAR	Robledal de Cañar. Loma de Cañar	1904	1904	36.96562	-3.42284	EPSG:4326	5	Quercus pyrenaica Willd.	Plantae	Magnoliophyta	Magnoliopsida	Fagales	Fagaceae	Quercus	pyrenaica		Willd.
urn:catalog:OBSNEV:MIGRAME:MIG-T001a-23685	2015-02-26 05:52:29.517211	es	OBSNEV	MIGRAME	humanObservation	urn:catalog:OBSNEV:MIGRAME:MIG-T001a-23685	MIG-T001a-23685	Navarro-González I, Pérez-Luque AJ	2012-09-10	2012	9	10	Europe	España	ESP	GR	CAÑAR	Robledal de Cañar. Loma de Cañar	1904	1904	36.96562	-3.42284	EPSG:4326	5	Quercus pyrenaica Willd.	Plantae	Magnoliophyta	Magnoliopsida	Fagales	Fagaceae	Quercus	pyrenaica		Willd.
urn:catalog:OBSNEV:MIGRAME:MIG-B004-25115	2015-02-26 05:52:29.827606	es	OBSNEV	MIGRAME	humanObservation	urn:catalog:OBSNEV:MIGRAME:MIG-B004-25115	MIG-B004-25115	Pérez-Luque AJ, Navarro-González I, Pérez-Pérez R, Rodríguez Infante J	2012-10-03	2012	10	3	Europe	España	ESP	GR	CAÑAR	Robledal de Cañar. Loma de Cañar	1802	1802	36.95648	-3.43449	EPSG:4326	5	Quercus pyrenaica Willd.	Plantae	Magnoliophyta	Magnoliopsida	Fagales	Fagaceae	Quercus	pyrenaica		Willd.
urn:catalog:OBSNEV:MIGRAME:MIG-B004-25116	2015-02-26 05:52:29.944086	es	OBSNEV	MIGRAME	humanObservation	urn:catalog:OBSNEV:MIGRAME:MIG-B004-25116	MIG-B004-25116	Pérez-Luque AJ, Navarro-González I, Pérez-Pérez R, Rodríguez Infante J	2012-10-03	2012	10	3	Europe	España	ESP	GR	CAÑAR	Robledal de Cañar. Loma de Cañar	1802	1802	36.95648	-3.43449	EPSG:4326	5	Quercus pyrenaica Willd.	Plantae	Magnoliophyta	Magnoliopsida	Fagales	Fagaceae	Quercus	pyrenaica		Willd.
urn:catalog:OBSNEV:MIGRAME:MIG-B004-25117	2015-02-26 05:52:30.034876	es	OBSNEV	MIGRAME	humanObservation	urn:catalog:OBSNEV:MIGRAME:MIG-B004-25117	MIG-B004-25117	Pérez-Luque AJ, Navarro-González I, Pérez-Pérez R, Rodríguez Infante J	2012-10-03	2012	10	3	Europe	España	ESP	GR	CAÑAR	Robledal de Cañar. Loma de Cañar	1802	1802	36.95648	-3.43449	EPSG:4326	5	Quercus pyrenaica Willd.	Plantae	Magnoliophyta	Magnoliopsida	Fagales	Fagaceae	Quercus	pyrenaica		Willd.
urn:catalog:OBSNEV:MIGRAME:MIG-B004-25118	2015-02-26 05:52:30.059827	es	OBSNEV	MIGRAME	humanObservation	urn:catalog:OBSNEV:MIGRAME:MIG-B004-25118	MIG-B004-25118	Pérez-Luque AJ, Navarro-González I, Pérez-Pérez R, Rodríguez Infante J	2012-10-03	2012	10	3	Europe	España	ESP	GR	CAÑAR	Robledal de Cañar. Loma de Cañar	1802	1802	36.95648	-3.43449	EPSG:4326	5	Quercus pyrenaica Willd.	Plantae	Magnoliophyta	Magnoliopsida	Fagales	Fagaceae	Quercus	pyrenaica		Willd.
urn:catalog:OBSNEV:MIGRAME:MIG-B004-25124	2015-02-26 05:52:30.250403	es	OBSNEV	MIGRAME	humanObservation	urn:catalog:OBSNEV:MIGRAME:MIG-B004-25124	MIG-B004-25124	Pérez-Luque AJ, Navarro-González I, Pérez-Pérez R, Rodríguez Infante J	2012-10-03	2012	10	3	Europe	España	ESP	GR	CAÑAR	Robledal de Cañar. Loma de Cañar	1802	1802	36.95648	-3.43449	EPSG:4326	5	Quercus pyrenaica Willd.	Plantae	Magnoliophyta	Magnoliopsida	Fagales	Fagaceae	Quercus	pyrenaica		Willd.
urn:catalog:OBSNEV:MIGRAME:MIG-B004-25127	2015-02-26 05:52:30.343261	es	OBSNEV	MIGRAME	humanObservation	urn:catalog:OBSNEV:MIGRAME:MIG-B004-25127	MIG-B004-25127	Pérez-Luque AJ, Navarro-González I, Pérez-Pérez R, Rodríguez Infante J	2012-10-03	2012	10	3	Europe	España	ESP	GR	CAÑAR	Robledal de Cañar. Loma de Cañar	1802	1802	36.95648	-3.43449	EPSG:4326	5	Quercus pyrenaica Willd.	Plantae	Magnoliophyta	Magnoliopsida	Fagales	Fagaceae	Quercus	pyrenaica		Willd.
urn:catalog:OBSNEV:MIGRAME:MIG-B004-25139	2015-02-26 05:52:30.458484	es	OBSNEV	MIGRAME	humanObservation	urn:catalog:OBSNEV:MIGRAME:MIG-B004-25139	MIG-B004-25139	Pérez-Luque AJ, Navarro-González I, Pérez-Pérez R, Rodríguez Infante J	2012-10-03	2012	10	3	Europe	España	ESP	GR	CAÑAR	Robledal de Cañar. Loma de Cañar	1802	1802	36.95648	-3.43449	EPSG:4326	5	Quercus pyrenaica Willd.	Plantae	Magnoliophyta	Magnoliopsida	Fagales	Fagaceae	Quercus	pyrenaica		Willd.
