"name" "longitude" "latitude" "elevation" "type" "subtype" "locality" "county" "province" "country"
"87" "A013" -3.35566424788079 37.1246358314115 1652 "MH" "AC-i" "SJ" "Güejar-Sierra" "Granada" "Spain"
"88" "P028" -3.43250505092202 36.9586378490172 1845 "FO" "F" "CA" "Cáñar" "Granada" "Spain"
"89" "P017" -3.41970705730837 36.9638099162813 1823 "MH" "AC-i" "CA" "Cáñar" "Granada" "Spain"
"90" "P010" -3.43341647578991 36.9564496665878 1798 "MH" "AC-i" "CA" "Cáñar" "Granada" "Spain"
"91" "P009" -3.43448137324463 36.9568819259673 1809 "MH" "AC-i" "CA" "Cáñar" "Granada" "Spain"
"92" "P031" -3.42998927484001 36.9578461649833 1815 "FO" "F" "CA" "Cáñar" "Granada" "Spain"
"93" "B005" -3.43313953978786 36.9565825154126 1800 "MH" "AC-e" "CA" "Cáñar" "Granada" "Spain"
"94" "B011" -3.42031656997686 36.964429085131 1842 "MH" "AC-e" "CA" "Cáñar" "Granada" "Spain"
"95" "A010" -3.35575203773528 37.1224878738353 1706 "MH" "AC-i" "SJ" "Güejar-Sierra" "Granada" "Spain"
"96" "A004" -3.36421543270758 37.1260820663543 1588 "MH" "AC-i" "SJ" "Güejar-Sierra" "Granada" "Spain"
"97" "A006" -3.36406085985583 37.1253290951103 1612 "MH" "AC-i" "SJ" "Güejar-Sierra" "Granada" "Spain"
"98" "A008" -3.35638477516852 37.1226407637722 1684 "MH" "AC-i" "SJ" "Güejar-Sierra" "Granada" "Spain"
"99" "P002" -3.43408822786889 36.9567449635921 1805 "MH" "AC-i" "CA" "Cáñar" "Granada" "Spain"
"100" "C010" -3.35470569659597 37.1254179684203 1649 "MH" "AC-e" "SJ" "Güejar-Sierra" "Granada" "Spain"
"101" "A029" -3.35711583741745 37.1251077400741 1575 "FO" "F" "SJ" "Güejar-Sierra" "Granada" "Spain"
"102" "A026" -3.35775406116511 37.122756697244 1641 "FO" "F" "SJ" "Güejar-Sierra" "Granada" "Spain"
"103" "T008a" -3.4266610616455 36.9692846731456 2079 "AM" "TE" "CA" "Cáñar" "Granada" "Spain"
"104" "D015" -3.41110669220595 36.9715410613921 1861 "MH" "Pp-i" "CA" "Cáñar" "Granada" "Spain"
"105" "T022a" -3.43116089541918 36.9658637469872 2022 "AM" "TE" "CA" "Cáñar" "Granada" "Spain"
"106" "D019" -3.41008101213218 36.9677721763262 1751 "MH" "Pp-i" "CA" "Cáñar" "Granada" "Spain"
"108" "D018" -3.40913516236594 36.9684064317612 1747 "MH" "Pp-i" "CA" "Cáñar" "Granada" "Spain"
"110" "D003p" -3.41336203829146 36.9684102478126 1805 "MH" "Pp-e" "CA" "Cáñar" "Granada" "Spain"
"111" "T016b" -3.42339921162184 36.9714757260861 2084 "AM" "TE" "CA" "Cáñar" "Granada" "Spain"
"112" "T016a" -3.4237028070766 36.9711498768898 2082 "AM" "TE" "CA" "Cáñar" "Granada" "Spain"
"113" "T003a" -3.42404585332618 36.9664977932869 1947 "AM" "TE" "CA" "Cáñar" "Granada" "Spain"
"114" "T004a" -3.42455151313144 36.9670407471915 1978 "AM" "TE" "CA" "Cáñar" "Granada" "Spain"
"115" "T017b" -3.42570027988941 36.9635346265103 1898 "AM" "TE" "CA" "Cáñar" "Granada" "Spain"
"116" "T020a" -3.43022512178235 36.9651634049626 1972 "AM" "TE" "CA" "Cáñar" "Granada" "Spain"
