id,dbh,h,eventDate,tr,loc,scientificName,sp
urn:catalog:OBSNEV:MIGRAME:MIG-A024-25650,30,900,2012-11-08,A024,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A024-25651,2.1,150,2012-11-08,A024,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A024-25652,26,900,2012-11-08,A024,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A024-25653,30,800,2012-11-08,A024,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A024-25654,29,700,2012-11-08,A024,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A024-25655,23,550,2012-11-08,A024,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A024-25656,NA,150,2012-11-08,A024,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A024-25657,NA,90,2012-11-08,A024,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A024-25658,NA,120,2012-11-08,A024,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A024-25659,NA,150,2012-11-08,A024,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A026-23206,38,900,2012-10-31,A026,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A026-23207,40,900,2012-10-31,A026,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A026-23208,33,800,2012-10-31,A026,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A026-23209,48,1200,2012-10-31,A026,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A026-23210,40,1000,2012-10-31,A026,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A026-23211,31,1000,2012-10-31,A026,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A026-23212,25,700,2012-10-31,A026,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A026-23213,37,900,2012-10-31,A026,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A026-23214,38,1100,2012-10-31,A026,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A026-23215,47,1100,2012-10-31,A026,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A026-23216,50,1200,2012-10-31,A026,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A026-23217,3,180,2012-10-31,A026,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A026-23218,4,120,2012-10-31,A026,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A027-25694,20,800,2012-10-31,A027,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A027-25695,16,750,2012-10-31,A027,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A027-25696,25,600,2012-10-31,A027,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A027-25697,30,900,2012-10-31,A027,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A027-25698,2.5,90,2012-10-31,A027,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A027-25699,27,950,2012-10-31,A027,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A027-25700,32,1000,2012-10-31,A027,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A027-25701,15,700,2012-10-31,A027,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A027-25702,13,600,2012-10-31,A027,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A027-25703,30,1000,2012-10-31,A027,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A027-25704,32,1000,2012-10-31,A027,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A027-25705,32,1000,2012-10-31,A027,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A027-25706,32,1000,2012-10-31,A027,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A027-25707,1,67,2012-10-31,A027,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A027-25708,15,975,2012-10-31,A027,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A027-25709,15,975,2012-10-31,A027,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A027-25710,20,800,2012-10-31,A027,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A027-25711,37,1100,2012-10-31,A027,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A027-25712,2,130,2012-10-31,A027,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A027-25713,23,850,2012-10-31,A027,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A027-25714,16,750,2012-10-31,A027,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A027-25715,1.3,80,2012-10-31,A027,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A027-25716,25,600,2012-10-31,A027,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A027-25717,25,600,2012-10-31,A027,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A027-25718,21,600,2012-10-31,A027,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A027-25719,24,950,2012-10-31,A027,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A027-25720,31,1000,2012-10-31,A027,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A027-25721,25,850,2012-10-31,A027,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A027-25722,NA,30,2012-10-31,A027,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A027-25723,22,700,2012-10-31,A027,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A027-25724,28,900,2012-10-31,A027,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A027-25725,28,900,2012-10-31,A027,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A027-25726,28,900,2012-10-31,A027,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A027-25727,28,900,2012-10-31,A027,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A027-25728,25,600,2012-10-31,A027,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A027-25729,2.5,78,2012-10-31,A027,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A027-25730,1,49,2012-10-31,A027,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A027-25731,1.5,110,2012-10-31,A027,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A027-25732,2.5,47,2012-10-31,A027,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A027-25733,2.5,48,2012-10-31,A027,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A027-25734,2.5,50,2012-10-31,A027,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A027-25735,1,60,2012-10-31,A027,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A027-25736,2.5,100,2012-10-31,A027,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A027-25737,3.5,140,2012-10-31,A027,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A027-25738,3,150,2012-10-31,A027,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A027-25739,1.5,102,2012-10-31,A027,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A027-25740,2.5,123,2012-10-31,A027,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A027-25741,1.3,60,2012-10-31,A027,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A027-25742,2,52,2012-10-31,A027,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A027-25743,2.5,130,2012-10-31,A027,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A028-25660,23,800,2012-10-31,A028,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A028-25661,21,850,2012-10-31,A028,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A028-25662,12,143,2012-10-31,A028,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A028-25663,21,750,2012-10-31,A028,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A028-25664,28,950,2012-10-31,A028,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A028-25665,22,700,2012-10-31,A028,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A028-25666,21,950,2012-10-31,A028,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A028-25667,18,550,2012-10-31,A028,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A028-25668,15,156,2012-10-31,A028,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A028-25669,51,1200,2012-10-31,A028,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A028-25670,27,1200,2012-10-31,A028,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A028-25671,35,1300,2012-10-31,A028,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A028-25672,23,700,2012-10-31,A028,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A028-25673,25,1000,2012-10-31,A028,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A028-25674,18,700,2012-10-31,A028,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A028-25675,27,1100,2012-10-31,A028,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A028-25676,28,900,2012-10-31,A028,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A028-25677,30,800,2012-10-31,A028,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A028-25678,25,850,2012-10-31,A028,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A028-25679,27,1000,2012-10-31,A028,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A028-25680,3,102,2012-10-31,A028,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A028-25681,1.8,105,2012-10-31,A028,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A028-25682,22,700,2012-10-31,A028,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A028-25683,25,800,2012-10-31,A028,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A028-25684,19,850,2012-10-31,A028,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A028-25685,23,875,2012-10-31,A028,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A028-25686,27,800,2012-10-31,A028,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A028-25687,27,950,2012-10-31,A028,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A028-25688,9.5,450,2012-10-31,A028,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A028-25689,2.5,190,2012-10-31,A028,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A028-25690,1.5,110,2012-10-31,A028,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A028-25691,NA,50,2012-10-31,A028,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A028-25692,2,57,2012-10-31,A028,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A028-25693,1,60,2012-10-31,A028,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A029-23174,38,1000,2012-10-31,A029,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A029-23175,20,800,2012-10-31,A029,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A029-23176,17,700,2012-10-31,A029,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A029-23177,28,900,2012-10-31,A029,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A029-23178,27,1100,2012-10-31,A029,SJ,Quercus pyrenaica Willd.,Qpyr
urn:catalog:OBSNEV:MIGRAME:MIG-A029-23179,40,1300,2012-10-31,A029,SJ,Quercus pyrenaica Willd.,Qpyr
