id_parcela,pob_roble,forest_type,position
154,6,DECIDUOS,DENTRO
156,4,DECIDUOS,DENTRO
157,4,NO,DENTRO
158,4,DECIDUOS,DENTRO
159,4,NO,DENTRO
160,4,NO,DENTRO
198,5,NO,FUERA
200,5,DECIDUOS,DENTRO
201,5,NO,FUERA
261,2,DECIDUOS,DENTRO
262,2,DECIDUOS,DENTRO
263,2,DECIDUOS,DENTRO
265,2,DECIDUOS,DENTRO
269,2,DECIDUOS,DENTRO
270,2,DECIDUOS,DENTRO
271,2,DECIDUOS,DENTRO
275,2,DECIDUOS,DENTRO
372,1,DECIDUOS,DENTRO
378,1,NO,DENTRO
379,1,NO,DENTRO
382,1,NO,DENTRO
386,1,DECIDUOS,DENTRO
388,1,NO,DENTRO
389,1,DECIDUOS,DENTRO
390,1,DECIDUOS,DENTRO
426,3,NO,DENTRO
427,3,NO,DENTRO
428,3,NO,DENTRO
429,3,NO,DENTRO
560,8,DECIDUOS,DENTRO
561,8,DECIDUOS,DENTRO
563,8,DECIDUOS,DENTRO
567,8,NO,FUERA
569,7,DECIDUOS,FUERA
