id,sp,height,db,dbh,dis,rumbo_c,rumbo,plot,obs,id_tree_plot
57,Quercus pyrenaica,16.5,86.6,48.5,8.5,,258,CAM4,base fusionada,
58,Quercus pyrenaica,11.5,86.6,35.5,8.12,,258,CAM4,base fusionada,
59,Quercus pyrenaica,11.2,52.5,45.5,8.71,,284,CAM4,,
60,Acer opalus granatensis,8.6,28.1,24.5,2.16,,310,CAM4,,
61,Quercus pyrenaica,16.1,58.9,53.5,3.94,,328,CAM4,,
62,Sorbus aria,9.2,22.1,19.5,9.89,,60,CAM4,,
63,Sorbus aria,9.4,24.7,22.1,9.48,,64,CAM4,,
64,Sorbus aria,10,21.7,17.3,9.69,,64,CAM4,,
65,Sorbus aria,8.5,16.9,13.5,9.9,,66,CAM4,,
66,Quercus pyrenaica,11,55.8,27.1,6.99,,140,CAM4,base fusionada,
67,Quercus pyrenaica,10.2,55.8,27.3,6.67,,140,CAM4,base fusionada,
68,Crataegus monogyna,2.25,9.3,8.1,6.1,,320,CAM4,,
69,Crataegus monogyna,3.4,10.1,9.7,7.78,,310,CAM4,,
70,Crataegus monogyna,3.2,11.1,9.9,8.1,,295,CAM4,,
71,Quercus pyrenaica,9.7,18.2,16.2,9,,60,CAM5,,
72,Quercus pyrenaica,13.5,31.2,27.4,9.33,,78,CAM5,,
73,Quercus pyrenaica,5.7,12.3,10.5,5.46,,80,CAM5,,
74,Quercus pyrenaica,14.9,34.1,26.2,8.32,,84,CAM5,,
75,Quercus pyrenaica,15.4,35,28.8,5.88,,86,CAM5,,
76,Quercus pyrenaica,5.9,14.1,9,6.51,,88,CAM5,,
77,Quercus pyrenaica,15.6,35.2,28,7.27,,92,CAM5,,
78,Quercus pyrenaica,15.5,32.4,26.9,8.13,,92,CAM5,,
79,Quercus pyrenaica,12.9,17.9,13.7,6.99,,112,CAM5,,
80,Quercus pyrenaica,10.5,21,16.2,8.92,,110,CAM5,,
81,Quercus pyrenaica,5.8,10.2,9.3,9.45,,120,CAM5,,
82,Quercus pyrenaica,14.4,24.2,21,7.99,,108,CAM5,,
83,Quercus pyrenaica,9.2,18.2,14.4,7.04,,110,CAM5,,
84,Quercus pyrenaica,13.5,30.7,25.3,9.06,,118,CAM5,,
85,Quercus pyrenaica,10.6,31.8,25.7,4.34,,140,CAM5,,
86,Quercus pyrenaica,14.7,28.9,23.4,3.71,,142,CAM5,,
87,Quercus pyrenaica,13.9,23,18.9,2.6,,150,CAM5,,
88,Quercus pyrenaica,11,22.6,19.3,6.77,,170,CAM5,,
89,Quercus pyrenaica,12.2,27.6,22.3,9.56,,192,CAM5,,
90,Quercus pyrenaica,12.6,23.2,17.1,6.43,,190,CAM5,,
91,Quercus pyrenaica,13.9,26.7,21.7,9.08,,192,CAM5,,
92,Quercus pyrenaica,7.2,14.2,11.1,9.34,,194,CAM5,,
93,Quercus pyrenaica,13.5,24.3,19.7,7.42,,218,CAM5,,
94,Quercus pyrenaica,13.5,28,22.5,6.25,,220,CAM5,,
95,Quercus pyrenaica,16.8,46.1,22,6.96,,300,CAM5,,
96,Quercus pyrenaica,15.2,46.1,35.7,6.55,,312,CAM5,,
97,Quercus pyrenaica,10.6,15.6,12.8,4.42,,318,CAM5,,
98,Quercus pyrenaica,13.4,31.1,25,5.63,,318,CAM5,,
99,Quercus pyrenaica,18.8,31.5,27,3.11,,358,CAM5,,
100,Quercus pyrenaica,17.1,33.5,28.7,5.91,,350,CAM5,,
101,Quercus pyrenaica,19,29.3,24.1,4.21,,16,CAM5,,
102,Quercus pyrenaica,17.7,47.9,41,5.08,,18,CAM5,,
103,Quercus pyrenaica,17.8,,44.5,3.79,,262,DUR1,,1
104,Quercus pyrenaica,13.9,,40.5,5.28,,282,DUR1,,2
105,Quercus pyrenaica,8.4,,33.5,4.45,,318,DUR1,,3
106,Quercus pyrenaica,13.8,,32,3.04,,280,DUR1,,4
107,Quercus pyrenaica,13.4,,36,2.55,,320,DUR1,,5
108,Quercus pyrenaica,13.6,,35,1.83,,276,DUR1,,6
109,Quercus pyrenaica,2.2,,3.1,8.18,,182,DUR2,,1
110,Quercus pyrenaica,7.05,,19.6,2.38,,122,DUR2,,2
111,Quercus pyrenaica,15.3,,30.5,4.02,,128,DUR2,,3
112,Quercus pyrenaica,8.5,,18.2,4.84,,132,DUR2,,4
113,Quercus pyrenaica,6.1,,11.5,4.86,,138,DUR2,,5
114,Quercus pyrenaica,2.8,,3.5,6.06,,140,DUR2,,6
115,Crataegus monogyna,3.9,,12.6,7.48,,142,DUR2,,7
116,Quercus pyrenaica,2.6,,3.8,6.85,,144,DUR2,,8
117,Quercus pyrenaica,13.2,,24,2.86,,114,DUR2,,9
118,Quercus pyrenaica,12.7,,22.6,3.4,,116,DUR2,,10
119,Quercus pyrenaica,11.8,,20.8,4.69,,112,DUR2,,11
120,Quercus pyrenaica,4.1,,12.2,4.61,,94,DUR2,,12
121,Quercus pyrenaica,10.8,,19.6,6.21,,86,DUR2,,13
122,Quercus pyrenaica,13.1,,30.1,5.64,,78,DUR2,,14
123,Quercus pyrenaica,4.8,,17,4.79,,64,DUR2,,15
124,Quercus pyrenaica,13.8,,28.2,4.89,,56,DUR2,,16
125,Quercus pyrenaica,13.5,,29.1,6.06,,62,DUR2,,17
126,Quercus pyrenaica,12.7,,25.4,5.47,,58,DUR2,,18
127,Quercus pyrenaica,2.96,,5.5,6.04,,38,DUR2,,19
128,Quercus pyrenaica,8.1,,18.4,6.42,,44,DUR2,,20
129,Quercus pyrenaica,3.02,,5.01,5.36,,46,DUR2,,21
130,Quercus pyrenaica,12.5,,21.3,5.67,,22,DUR2,,22
131,Quercus pyrenaica,13.9,,30.1,5.06,,34,DUR2,,23
132,Quercus pyrenaica,5.1,,8,3.83,,20,DUR2,,24
133,Quercus pyrenaica,9.3,,18.3,3.22,,24,DUR2,,25
134,Quercus pyrenaica,16.1,,48.5,7.69,78,258,DUR2,,26
135,Quercus pyrenaica,13.2,,21.1,4.99,72,252,DUR2,,27
136,Quercus pyrenaica,13.8,,26.2,4.35,58,238,DUR2,,28
137,Quercus pyrenaica,12.5,,20.4,4.91,8,188,DUR2,,29
138,Quercus pyrenaica,12.8,,22.8,4.47,2,182,DUR2,,30
139,Quercus pyrenaica,4.9,,7.1,4.65,120,300,DUR2,,31
140,Crataegus monogyna,3.9,,6.8,5.01,122,302,DUR2,,32
141,Crataegus monogyna,3.6,,6.5,5.8,124,304,DUR2,,33
142,Crataegus monogyna,2.9,,7.1,6.01,108,288,DUR2,,34
143,Crataegus monogyna,3.01,,6.1,3.82,86,266,DUR2,,35
144,Quercus pyrenaica,14.01,,28.3,8.26,150,330,DUR2,,36
145,Quercus pyrenaica,9.6,,18.5,7.09,112,292,DUR2,,37
146,Quercus pyrenaica,13.05,,28.1,2.71,136,316,DUR2,,38
147,Quercus pyrenaica,13.6,,28.3,2.73,142,322,DUR2,,39
148,Crataegus monogyna,3.1,,13,4.45,146,326,DUR2,,40
149,Adenocarpus decorticans,2.8,,11,8.6,138,318,DUR2,,41
150,Acer opalus granatensis,3.2,,7.1,6.67,250,70,DUR3,,1
151,Quercus pyrenaica,13.9,,28.2,2.13,238,58,DUR3,,2
152,Quercus pyrenaica,10.8,,19.1,1.9,254,74,DUR3,,3
153,Quercus pyrenaica,3.1,,5.6,1.36,330,150,DUR3,,4
154,Quercus pyrenaica,15.1,,28.5,1.79,310,130,DUR3,,5
155,Quercus pyrenaica,15.8,,33.4,2.01,306,126,DUR3,,6
156,Quercus pyrenaica,12.3,,19.1,2.46,298,118,DUR3,,7
157,Quercus pyrenaica,14.8,,26.7,2.64,42,222,DUR3,,8
158,Sorbus aria ,7.8,,15.4,5.1,40,220,DUR3,,9
159,Sorbus aria ,6.1,,7.4,5,44,224,DUR3,,10
160,Sorbus aria ,5.2,,6.1,4.9,42,222,DUR3,,11
161,Sorbus aria ,5.1,,6.6,4.98,46,226,DUR3,,12
162,Sorbus aria ,5.9,,7.1,5,60,240,DUR3,,13
163,Sorbus aria ,6.2,,9.1,5.1,66,246,DUR3,,14
164,Sorbus aria ,5.8,,6.7,5.75,70,250,DUR3,,15
165,Sorbus aria ,7.9,,15.6,5.9,88,268,DUR3,,16
166,Sorbus aria ,6.3,,8.1,6.1,158,338,DUR3,,17
167,Quercus pyrenaica,10.1,,18.1,7.79,164,344,DUR3,,18
168,Quercus pyrenaica,12.1,,29.3,7.37,50,230,DUR3,,19
169,Quercus pyrenaica,3.6,,7.6,1.75,52,232,DUR3,,20
170,Quercus pyrenaica,3.8,,7.7,1.92,94,274,DUR3,,21
171,Quercus pyrenaica,16.1,,27,0.9,92,272,DUR3,,22
172,Quercus pyrenaica,16.8,,28.5,1.74,90,270,DUR3,,23
173,Quercus pyrenaica,15.2,,25,2.27,96,276,DUR3,,24
174,Quercus pyrenaica,16.3,,37.3,1.86,158,338,DUR3,,25
175,Quercus pyrenaica,16,,26.4,2.72,158,338,DUR3,,26
176,Quercus pyrenaica,14.9,,27.1,3.04,158,338,DUR3,,27
177,Quercus pyrenaica,15.8,,31.2,2.93,162,342,DUR3,,28
178,Quercus pyrenaica,4.8,,14.2,3.66,160,340,DUR3,,29
179,Quercus pyrenaica,3.9,,10.1,4.47,154,334,DUR3,,30
180,Quercus pyrenaica,12.8,,28.3,3.59,184,4,DUR3,,31
181,Quercus pyrenaica,4.9,,15,4.18,180,360,DUR3,,32
182,Acer opalus granatensis,4.5,,10.3,7.47,220,40,DUR3,,33
183,Acer opalus granatensis,3.9,,8.1,8.25,224,44,DUR3,,34
184,Quercus pyrenaica,4.01,,7.6,8.93,278,98,DUR4,,1
185,Quercus pyrenaica,14.3,,35.1,4.28,84,264,DUR4,,2
186,Quercus pyrenaica,13.8,,33.2,4.87,88,268,DUR4,,3
187,Quercus pyrenaica,14.9,,38.1,6.85,90,270,DUR4,,4
188,Quercus pyrenaica,15.2,,41.1,3.38,62,242,DUR4,,5
189,Quercus pyrenaica,15.3,,44.2,3.25,62,242,DUR4,,6
190,Quercus pyrenaica,16.1,,26.8,1.59,162,342,DUR5,,1
191,Quercus pyrenaica,12.1,,18.6,5.01,154,334,DUR5,,2
192,Quercus pyrenaica,8.1,,11.1,4.44,158,338,DUR5,,3
193,Quercus pyrenaica,10.2,,17.4,6.4,152,332,DUR5,,4
194,Quercus pyrenaica,12.9,,19.8,6.66,150,330,DUR5,,5
195,Quercus pyrenaica,11.5,,18.1,8.7,148,328,DUR5,,6
196,Quercus pyrenaica,13.1,,22.3,8.93,150,330,DUR5,,7
197,Quercus pyrenaica,11.9,,19.8,8.12,152,332,DUR5,,8
198,Quercus pyrenaica,8.7,,14.1,2.75,216,36,DUR5,,9
199,Quercus pyrenaica,7.9,,14.2,3.53,230,50,DUR5,,10
200,Quercus pyrenaica,10.1,,21.1,2.41,244,64,DUR5,,11
201,Quercus pyrenaica,15.3,,28.3,3.41,272,92,DUR5,,12
202,Quercus pyrenaica,10.6,,18.2,3.39,260,80,DUR5,,13
203,Quercus pyrenaica,7.4,,10.2,2.11,278,98,DUR5,,14
204,Quercus pyrenaica,5,,12,3.9,264,84,DUR5,,15
205,Quercus pyrenaica,2.1,,3.5,4.53,288,108,DUR5,,16
206,Quercus pyrenaica,8.7,,15.1,4.6,338,158,DUR5,,17
207,Quercus pyrenaica,7.1,,19.9,7.01,330,150,DUR5,,18
208,Quercus pyrenaica,6.8,,13.6,8.82,354,174,DUR5,,19
209,Quercus pyrenaica,6.1,,15.2,7.94,358,178,DUR5,,20
210,Quercus pyrenaica,11.9,,24.3,5.97,16,196,DUR5,,21
211,Quercus pyrenaica,14.3,,18.1,8.27,53,233,DUR5,,22
212,Quercus pyrenaica,15.8,,29.3,8.61,64,244,DUR5,,23
213,Quercus pyrenaica,10.1,,14.6,6.97,85,265,DUR5,,24
214,Quercus pyrenaica,14.8,,24.6,7.04,90,270,DUR5,,25
215,Quercus pyrenaica,2.8,,5.6,0.62,334,154,DUR5,,26
216,Quercus pyrenaica,16.9,,28.3,1.25,300,120,DUR5,,27
217,Quercus pyrenaica,16.3,,38.4,6.93,130,310,DIL1,,1
218,Quercus pyrenaica,18.9,,36.3,4.6,120,300,DIL1,,2
219,Quercus pyrenaica,14.6,,34.1,0.83,132,312,DIL1,,3
220,Quercus pyrenaica,11.3,,31.3,1.97,140,320,DIL1,,4
221,Quercus pyrenaica,12.3,,30.9,8.73,94,274,DIL1,,5
222,Quercus pyrenaica,3.5,,8.2,1.23,32,212,DIL1,,6
223,Quercus pyrenaica,5.8,,26.3,1.92,18,198,DIL1,,7
224,Quercus pyrenaica,17,,34.3,4.17,240,60,DIL1,,8
225,Quercus pyrenaica,15.1,,33.6,2.3,280,100,DIL1,,9
226,Quercus pyrenaica,14.9,,28,3.27,284,104,DIL1,,10
227,Quercus pyrenaica,14,,27.4,3.38,310,130,DIL1,,11
228,Quercus pyrenaica,15.8,,48.5,4.72,298,118,DIL1,,12
229,Quercus pyrenaica,15.05,,43.3,8.11,300,120,DIL1,,13
230,Quercus pyrenaica,15.8,,40,2.67,350,170,DIL1,,14
231,Quercus pyrenaica,14.1,,34.8,4.04,358,178,DIL1,,15
232,Quercus pyrenaica,16.8,,43.3,6.32,326,146,DIL1,,16
233,Quercus pyrenaica,17.5,,46,8.56,340,160,DIL1,,17
234,Quercus pyrenaica,15.1,,37.1,7.32,352,172,DIL1,,18
235,Quercus pyrenaica,15.2,,34.6,8.15,218,38,DIL2,,1
236,Quercus pyrenaica,3.9,,15.1,6.37,200,20,DIL2,,2
237,Quercus pyrenaica,13.3,,24.7,4.34,220,40,DIL2,,3
238,Quercus pyrenaica,14.9,,29.8,3.65,232,52,DIL2,,4
239,Quercus pyrenaica,14.5,,25.5,1.83,230,50,DIL2,,5
240,Quercus pyrenaica,15.82,,34.1,1.28,6,186,DIL2,,6
241,Quercus pyrenaica,14.55,,28.4,3.24,342,162,DIL2,,7
242,Quercus pyrenaica,3.2,,7.8,6.08,68,248,DIL2,,8
243,Quercus pyrenaica,14.3,,32.1,3.71,72,252,DIL2,,9
244,Quercus pyrenaica,13.5,,27.2,2.98,74,254,DIL2,,10
245,Quercus pyrenaica,13.8,,27.4,2.23,184,4,DIL2,,11
246,Quercus pyrenaica,15.4,,27.2,5.95,356,176,DIL3,,1
247,Quercus pyrenaica,14.8,,26.4,4.19,352,172,DIL3,,2
248,Quercus pyrenaica,16.3,,29.4,2.28,2,182,DIL3,,3
249,Quercus pyrenaica,4.8,,12.1,3.62,12,192,DIL3,,4
250,Quercus pyrenaica,12.1,,22.9,3.7,18,198,DIL3,,5
251,Quercus pyrenaica,16.31,,30.2,2.23,52,232,DIL3,,6
252,Quercus pyrenaica,16.18,,20.8,2.93,90,270,DIL3,,7
253,Quercus pyrenaica,15.8,,32.3,1.45,120,300,DIL3,,8
254,Quercus pyrenaica,14.95,,26.1,1.48,128,308,DIL3,,9
255,Quercus pyrenaica,15.21,,28.3,3.72,138,318,DIL3,,10
256,Quercus pyrenaica,11.1,,21,4.22,170,350,DIL3,,11
257,Quercus pyrenaica,15.95,,34.2,3.52,180,360,DIL3,,12
258,Quercus pyrenaica,14.89,,24.2,5.89,190,10,DIL3,,13
259,Quercus pyrenaica,15.75,,30.4,8.7,210,30,DIL3,,14
260,Quercus pyrenaica,16.35,,31,8.91,212,32,DIL3,,15
261,Crataegus monogyna,3.1,,13,5.6,200,20,DIL3,,16
262,Crataegus monogyna,2.87,,12,6.8,204,24,DIL3,,17
263,Crataegus monogyna,3.35,,12.5,7.5,208,28,DIL3,,18
264,Quercus pyrenaica,16.3,,25.6,5.5,8,188,DIL4,,1
265,Quercus pyrenaica,18.2,,43.5,6.75,10,190,DIL4,,2
266,Quercus pyrenaica,19.1,,53.5,7.84,10,190,DIL4,,3
267,Quercus pyrenaica,12.2,,19.6,8.47,2,182,DIL4,,4
268,Quercus pyrenaica,16.2,,34.8,5.96,228,48,DIL4,,5
269,Quercus pyrenaica,11.9,,18.3,7.61,230,50,DIL4,,6
270,Quercus pyrenaica,15.31,,22.4,7.95,218,38,DIL4,,7
271,Quercus pyrenaica,17.8,,40.5,6.2,162,342,DIL4,,8
272,Quercus pyrenaica,13.24,,26.3,6.32,158,338,DIL4,,9
273,Quercus pyrenaica,14.3,,25.3,7.11,162,342,DIL4,,10
274,Quercus pyrenaica,8.18,,11.4,6.54,146,326,DIL4,,11
275,Quercus pyrenaica,16.7,,46.8,4.33,108,288,DIL4,,12
276,Quercus pyrenaica,17.8,,49.9,3.5,120,300,DIL4,,13
277,Crataegus monogyna,2.9,,9,4.95,102,282,DIL4,,14
278,Quercus pyrenaica,10.1,,14.2,3.19,104,284,DIL4,,15
279,Quercus pyrenaica,17.5,,42.6,7.54,20,200,DIL5,,1
280,Quercus pyrenaica,13.8,,28.8,8.87,54,234,DIL5,,2
281,Quercus pyrenaica,18.1,,54.9,8.53,60,240,DIL5,,3
282,Crataegus monogyna,3.2,,11.1,4.91,68,248,DIL5,,4
283,Quercus pyrenaica,16.9,,37.4,4.04,60,240,DIL5,,5
284,Quercus pyrenaica,17.3,,36.8,4.3,80,260,DIL5,,6
285,Quercus pyrenaica,8.95,,19.5,5.23,108,288,DIL5,,7
286,Quercus pyrenaica,9.8,,27.2,6.73,120,300,DIL5,,8
287,Crataegus monogyna,3.75,,10.5,7.8,138,318,DIL5,,9
288,Crataegus monogyna,4.6,,14.5,8.01,142,322,DIL5,,10
289,Quercus pyrenaica,19.8,,42.8,2.7,150,330,DIL5,,11
290,Quercus pyrenaica,20.2,,44.3,0.86,88,268,DIL5,,12
291,Crataegus monogyna,4.3,,12,3.15,248,68,DIL5,,13
292,Crataegus monogyna,3.1,,9.8,3.3,246,66,DIL5,,14
