id,sp,height,db,dbh,dis,rumbo_c,rumbo,plot,obs,id_tree_plot
372,Quercus pyrenaica,8.7,,18.2,3.69,138,318,PAM2,,
373,Quercus pyrenaica,8.3,,21.1,3.49,92,272,PAM2,,
374,Quercus pyrenaica,12.4,,22.6,3.68,24,204,PAM2,,
375,Quercus pyrenaica,12.8,,23.8,4.04,30,210,PAM2,,
376,Quercus pyrenaica,4.8,,12.5,1.87,20,200,PAM2,,
377,Quercus pyrenaica,8.6,,17.7,5.52,340,160,PAM2,,
378,Quercus pyrenaica,12.9,,26,5.68,326,146,PAM2,,
379,Quercus pyrenaica,10.5,,19,6.51,318,138,PAM2,,
380,Quercus pyrenaica,9.7,,27,8.39,308,128,PAM2,,
381,Quercus pyrenaica,8.8,,19.5,7.25,300,120,PAM2,,
382,Quercus pyrenaica,12.7,,40.3,8.33,292,112,PAM2,,
383,Quercus pyrenaica,9.8,,20,5.18,296,116,PAM2,,
384,Quercus pyrenaica,12.9,,37.9,4.64,290,110,PAM2,,
385,Quercus pyrenaica,3.9,,12,4.24,285,105,PAM2,,
386,Quercus pyrenaica,4.3,,14.6,2.66,288,108,PAM2,,
387,Quercus pyrenaica,10.6,,21.2,3.74,230,50,PAM2,,
388,Quercus pyrenaica,13.2,,19.6,4.65,170,350,PAM3,,
389,Quercus pyrenaica,14.3,,34.5,4.18,160,340,PAM3,,
390,Quercus pyrenaica,16.1,,46,5.63,110,290,PAM3,,
391,Quercus pyrenaica,12.8,,24.6,8.93,70,250,PAM3,,
392,Quercus pyrenaica,12.4,,26.8,5.68,35,215,PAM3,,
393,Quercus pyrenaica,1.7,,4.9,5.8,40,220,PAM3,,
394,Quercus pyrenaica,2.1,,5.8,6.5,60,240,PAM3,,
395,Quercus pyrenaica,2,,4.5,8.9,85,265,PAM3,,
396,Quercus pyrenaica,11.4,,16.1,4.55,12,192,PAM3,,
397,Quercus pyrenaica,9.6,,18.3,6.23,2,182,PAM3,,
398,Quercus pyrenaica,9.5,,14.1,4.7,328,148,PAM3,,
399,Quercus pyrenaica,8.7,,21.1,6.09,308,128,PAM3,,
400,Quercus pyrenaica,13.9,,34.1,6.27,314,134,PAM3,,
401,Quercus pyrenaica,12.6,,18.3,8.46,320,140,PAM3,,
402,Quercus pyrenaica,4.1,,10.1,7.48,326,146,PAM3,,
403,Quercus pyrenaica,15.8,,38.1,3.94,314,134,PAM3,,
404,Quercus pyrenaica,4.8,,10.3,3.15,252,72,PAM3,,
405,Quercus pyrenaica,3.1,,11.2,2.81,258,78,PAM3,,
406,Quercus pyrenaica,12.5,,29.7,8.96,192,12,PAM3,,
407,Quercus pyrenaica,14,,32.5,8.98,186,6,PAM3,,
408,Quercus pyrenaica,13,,18.1,8.86,230,50,PAM3,,
409,Quercus pyrenaica,14.3,,26.4,8.74,242,62,PAM3,,
410,Quercus pyrenaica,3.8,,12.4,1.7,84,264,PAM4,,
411,Quercus pyrenaica,15.3,,20.1,2.45,82,262,PAM4,,
412,Quercus pyrenaica,4.7,,12.1,3.98,62,242,PAM4,,
413,Quercus pyrenaica,5.1,,12.4,4.34,64,244,PAM4,,
414,Quercus pyrenaica,14.8,,17.1,5.94,70,250,PAM4,,
415,Quercus pyrenaica,14.9,,19.7,6.87,72,252,PAM4,,
416,Quercus pyrenaica,13.8,,15.4,5.79,50,230,PAM4,,
417,Quercus pyrenaica,6.4,,9.3,6.5,28,208,PAM4,,
418,Quercus pyrenaica,7.1,,10.7,6.15,32,212,PAM4,,
419,Quercus pyrenaica,14.8,,20.2,7.86,30,210,PAM4,,
420,Quercus pyrenaica,3.5,,8.3,5.09,38,218,PAM4,,
421,Quercus pyrenaica,7.1,,14.7,6.05,40,220,PAM4,,
422,Quercus pyrenaica,13.8,,19.2,7.35,12,192,PAM4,,
423,Quercus pyrenaica,12.1,,13.6,6.85,4,184,PAM4,,
424,Quercus pyrenaica,15.1,,26.3,7.9,6,186,PAM4,,
425,Quercus pyrenaica,6.9,,9.2,4.48,314,134,PAM4,,
426,Quercus pyrenaica,15.6,,28.1,3.49,318,138,PAM4,,
427,Quercus pyrenaica,6.8,,10.1,6.32,254,74,PAM4,,
428,Quercus pyrenaica,7.1,,10.9,6.69,250,70,PAM4,,
429,Quercus pyrenaica,14.9,,27.1,8.64,230,50,PAM4,,
430,Quercus pyrenaica,3.9,,6.4,6.93,212,32,PAM4,,
431,Quercus pyrenaica,8.2,,16.9,6.78,198,18,PAM4,,
432,Quercus pyrenaica,3.7,,8.1,8.63,130,310,PAM4,,
433,Quercus pyrenaica,4.8,,10.1,7.33,142,322,PAM4,,
434,Quercus pyrenaica,14.1,,24.1,8.61,90,270,PAM4,,
435,Quercus pyrenaica,15.8,,24.4,8.78,94,274,PAM4,,
