loc,specie,treeCode,treeHeight_m,dbh1_cm,dbase1_cm,distance_m,azimuth_degree
CANAR_LOW,Quercus pyrenaica,CAL02,3.5,4.41,5.7,6.12,352
CANAR_LOW,Quercus pyrenaica,CAL04,4.9,9.4,12.2,5.13,24
CANAR_LOW,Quercus pyrenaica,CAL06,5.7,12.4,17.8,6.26,32
CANAR_LOW,Quercus pyrenaica,CAL07,4.8,6.9,11,7.35,38
CANAR_LOW,Quercus pyrenaica,CAL08,1.6,2.5,4.5,8.14,
CANAR_LOW,Quercus pyrenaica,CAL10,3.8,5.2,8,6.42,82
CANAR_LOW,Quercus pyrenaica,CAL11,3.8,3.5,6.5,6.35,86
CANAR_LOW,Quercus pyrenaica,CAL14,7.8,7.3,9.6,2.98,45
CANAR_LOW,Quercus pyrenaica,CAL17,1.5,2.9,4.5,7.15,96
CANAR_LOW,Quercus pyrenaica,CAL18,5.5,9.6,12.8,6.58,118
CANAR_LOW,Quercus pyrenaica,CAL20,5.7,7.9,11.1,7.53,122
CANAR_LOW,Quercus pyrenaica,CAL22,2.9,4.5,7.2,7.32,126
CANAR_LOW,Quercus pyrenaica,CAL24,5.4,9.1,13.7,7.58,142
CANAR_LOW,Quercus pyrenaica,CAL25,6.8,11.3,15.1,8.55,168
CANAR_LOW,Quercus pyrenaica,CAL26,2.8,4.4,6.4,8.63,198
CANAR_LOW,Quercus pyrenaica,CAL27,7.4,9.4,13.4,3.36,162
CANAR_LOW,Quercus pyrenaica,CAL29,7.7,9.7,14.6,2.27,144
CANAR_LOW,Quercus pyrenaica,CAL32,7.2,11.9,14.3,8.57,230
CANAR_LOW,Quercus pyrenaica,CAL33,6.1,5.7,6.9,7.3,264
CANAR_LOW,Quercus pyrenaica,CAL35,5.4,7.9,12.2,1.39,292
CANAR_LOW,Quercus pyrenaica,CAL36,7,7.7,12.3,1.12,340
CANAR_LOW,Quercus pyrenaica,CAL39,5.3,7,9.4,4.17,344
CANAR_LOW,Quercus pyrenaica,CAL41,5.3,7,9.4,2.81,324
CANAR_LOW,Quercus pyrenaica,CAL42,2.3,2.8,4.4,6.21,274
CANAR_LOW,Quercus pyrenaica,CAL44,3.2,4.2,5.2,8.47,290
CANAR_LOW,Quercus pyrenaica,CAL45,5.6,5.9,7.9,8.95,296
CANAR_LOW,Quercus pyrenaica,CAL46,4.1,3.6,5.9,7.21,
CANAR_LOW,Quercus pyrenaica,CAL48,1.9,2.4,3.5,9.18,262
CANAR_LOW,Quercus pyrenaica,CAL49,2.7,5.3,6.5,9.66,268
CANAR_LOW,Quercus pyrenaica,CAL51,7.9,9,11.8,9.59,218
CANAR_LOW,Quercus pyrenaica,CAL52,2.6,3.6,4.5,9.75,
CANAR_LOW,Quercus pyrenaica,CAL53,4,5.5,7.8,9.86,
CANAR_LOW,Quercus pyrenaica,CAL56,6.8,10.5,13.6,9.69,180
CANAR_LOW,Quercus pyrenaica,CAL57,1.7,4.3,5.3,8.53,122
CANAR_LOW,Quercus pyrenaica,CAL58,2.2,2.6,3.9,9.37,102
CANAR_LOW,Quercus pyrenaica,CAL59,1.7,3.3,5.6,9.68,92
CANAR_LOW,Quercus pyrenaica,CAL60,3.6,4.3,5.6,9.98,90
CANAR_LOW,Quercus pyrenaica,CAL12,5.4,8.6,13.5,4.86,90
CANAR_LOW,Quercus pyrenaica,CAL01,11.4,37,43.5,7.83,348
CANAR_LOW,Quercus pyrenaica,CAL03,10.9,33.6,42.3,6.15,12
CANAR_LOW,Quercus pyrenaica,CAL05,8.7,18.1,20.5,5.84,42
CANAR_LOW,Quercus pyrenaica,CAL09,8.7,18.1,20.5,5.84,68
CANAR_LOW,Quercus pyrenaica,CAL13,8.5,16.3,20.2,3.37,20
CANAR_LOW,Quercus pyrenaica,CAL16,6.5,8.9,14.6,5.48,114
CANAR_LOW,Quercus pyrenaica,CAL21,7.4,10.5,14.2,6.73,120
CANAR_LOW,Quercus pyrenaica,CAL23,7,14.2,18.5,6.52,148
CANAR_LOW,Quercus pyrenaica,CAL55,6.6,22,24.8,9.98,158
CANAR_LOW,Quercus pyrenaica,CAL15,1.6,2.1,3.1,4.29,60
CANAR_LOW,Quercus pyrenaica,CAL28,4.6,7.9,10.9,4.04,154
CANAR_LOW,Quercus pyrenaica,CAL30,7.5,11.5,15.1,1.5,116
CANAR_LOW,Quercus pyrenaica,CAL31,1.6,4.7,5.9,3.52,132
CANAR_LOW,Quercus pyrenaica,CAL34,8.9,12.6,16.1,2.13,260
CANAR_LOW,Quercus pyrenaica,CAL37,7.3,7.6,9.4,2.18,350
CANAR_LOW,Quercus pyrenaica,CAL38,2.5,3.3,5.4,3.68,4
CANAR_LOW,Quercus pyrenaica,CAL40,7.9,10.4,13.8,4.19,332
CANAR_LOW,Quercus pyrenaica,CAL43,5.8,8.7,9.6,8.28,282
CANAR_LOW,Quercus pyrenaica,CAL47,5.2,6.2,6.9,9.48,298
CANAR_LOW,Quercus pyrenaica,CAL50,10.1,42.2,44.8,9.66,268
CANAR_LOW,Quercus pyrenaica,CAL54,1.9,3.2,4.3,9.8,134
CANAR_HIGH,Quercus pyrenaica,CAH01,12.7,21,24.1,1.9,348
CANAR_HIGH,Quercus pyrenaica,CAH02,9.6,16,19,4.8,345
CANAR_HIGH,Quercus pyrenaica,CAH03,4,,5,6.85,348
CANAR_HIGH,Quercus pyrenaica,CAH04,10.1,20,24.8,4.98,358
CANAR_HIGH,Quercus pyrenaica,CAH05,3.5,,7,7.8,344
CANAR_HIGH,Quercus pyrenaica,CAH06,1.9,,4.6,6.68,355
CANAR_HIGH,Quercus pyrenaica,CAH07,4.6,7.5,10.1,6.98,1
CANAR_HIGH,Quercus pyrenaica,CAH08,5.2,5.7,8.9,6.55,9
CANAR_HIGH,Quercus pyrenaica,CAH09,,,3.8,6.05,5
CANAR_HIGH,Quercus pyrenaica,CAH10,11.5,21.1,25.9,7.07,13
CANAR_HIGH,Quercus pyrenaica,CAH11,1.7,,5.8,7.75,9
CANAR_HIGH,Quercus pyrenaica,CAH12,1.9,,3.8,8.56,10
CANAR_HIGH,Quercus pyrenaica,CAH13,1.75,,8.6,8.82,11
CANAR_HIGH,Quercus pyrenaica,CAH14,9.6,19.6,25,8.72,20
CANAR_HIGH,Quercus pyrenaica,CAH15,2.9,,5.8,6.72,25
CANAR_HIGH,Quercus pyrenaica,CAH16,3,,5.1,7.05,30
CANAR_HIGH,Quercus pyrenaica,CAH17,3.5,,5.2,5.38,14
CANAR_HIGH,Quercus pyrenaica,CAH18,3.5,,5.8,5.34,10
CANAR_HIGH,Quercus pyrenaica,CAH19,12.1,21,26.9,4.04,30
CANAR_HIGH,Quercus pyrenaica,CAH20,9.9,18.6,23,6.32,34
CANAR_HIGH,Quercus pyrenaica,CAH21,3.1,,3.9,7.62,35
CANAR_HIGH,Quercus pyrenaica,CAH22,,,5.3,7.89,39
CANAR_HIGH,Quercus pyrenaica,CAH23,4.1,6.2,9.7,8.88,37
CANAR_HIGH,Quercus pyrenaica,CAH24,,,5,8.62,40
CANAR_HIGH,Quercus pyrenaica,CAH25,3.2,,6.3,7.73,58
CANAR_HIGH,Quercus pyrenaica,CAH26,3.3,,6.2,8.38,65
CANAR_HIGH,Quercus pyrenaica,CAH27,2.8,,3.7,8.22,42
CANAR_HIGH,Quercus pyrenaica,CAH28,2.4,,5.8,8.87,75
CANAR_HIGH,Quercus pyrenaica,CAH29,2.4,,4.5,8.99,72
CANAR_HIGH,Quercus pyrenaica,CAH30,11.2,25.4,31.2,4.79,73
CANAR_HIGH,Quercus pyrenaica,CAH31,12.1,24.5,31.9,6.6,97
CANAR_HIGH,Quercus pyrenaica,CAH32,10.6,24.2,29.2,3.46,95
CANAR_HIGH,Quercus pyrenaica,CAH33,11.8,27.1,36.6,5.31,103
CANAR_HIGH,Quercus pyrenaica,CAH34,3.2,,6.9,7.96,120
CANAR_HIGH,Quercus pyrenaica,CAH35,9.5,20.2,27.9,8.88,138
CANAR_HIGH,Quercus pyrenaica,CAH36,3.9,6.4,10.1,7.64,144
CANAR_HIGH,Quercus pyrenaica,CAH37,4.7,5.6,8.3,8.94,148
CANAR_HIGH,Quercus pyrenaica,CAH38,8.5,15.6,22.8,5.78,157
CANAR_HIGH,Quercus pyrenaica,CAH39,3.8,3.6,6.9,5.48,151
CANAR_HIGH,Quercus pyrenaica,CAH40,2.8,3.9,7.1,4.66,154
CANAR_HIGH,Quercus pyrenaica,CAH41,2.7,,4.1,3.93,162
CANAR_HIGH,Quercus pyrenaica,CAH42,2.8,,3.6,3.6,155
CANAR_HIGH,Quercus pyrenaica,CAH43,3.1,,5.9,4.69,124
CANAR_HIGH,Quercus pyrenaica,CAH44,2.3,,4.2,1.98,125
CANAR_HIGH,Quercus pyrenaica,CAH45,9.8,18.6,26.2,2.33,159
CANAR_HIGH,Quercus pyrenaica,CAH46,1.5,,3.3,1.17,158
CANAR_HIGH,Quercus pyrenaica,CAH47,4.4,7.4,19.2,0.82,168
CANAR_HIGH,Quercus pyrenaica,CAH48,1.8,,3.2,2.26,65
CANAR_HIGH,Quercus pyrenaica,CAH49,1.9,,3.7,2.32,194
CANAR_HIGH,Quercus pyrenaica,CAH50,1.2,,3.9,3.76,186
CANAR_HIGH,Quercus pyrenaica,CAH51,2.6,,6.6,4.1,190
CANAR_HIGH,Quercus pyrenaica,CAH52,3.8,,7.9,4.22,170
CANAR_HIGH,Quercus pyrenaica,CAH53,3.1,,3.8,5.56,162
CANAR_HIGH,Quercus pyrenaica,CAH54,2.9,,3.2,6.1,158
CANAR_HIGH,Quercus pyrenaica,CAH55,3.9,,5.9,6.37,172
CANAR_HIGH,Quercus pyrenaica,CAH56,4.6,,6.2,6.88,175
CANAR_HIGH,Quercus pyrenaica,CAH57,2.4,,6.1,7.58,182
