project,n_trees,dbh,h
dendro_life,191,7.73 (2.1-42.2),4.48 (1.1-13.6)
dendro_sn,457,26.3 (2.86-122.55),10.31 (3-20.4)
migrame,1422,10.77 (1-105),4.27 (0.1-18)
obsnev_sjer,122,19.03 (8-36),9.57 (4.7-16.4)
qp_dasometrico,382,24.32 (2.91-67),11.42 (1.7-20.6)
robledal_life,650,13.26 (7.6-50),6.96 (3.6-14)
