id_plot,code,loc,ws,wb27,wb2,wr,h_mean,h_min,h_max,dbh_mean,wr_lid,w2_lid,w27_lid,ws_lid,wt_lid
82,CANAR_LOW,CAN,62.58,11.12,11.06,39.25,5.33,1.5,11.4,9.2,45.73289489746094,8.972095489501953,3.34030818939209,65.534088134765625,126.15142822265625
83,CANAR_HIGH,CAN,118.73,23.49,23.53,68.05,4.1,1.1,13.6,7.08,NA,NA,NA,NA,NA
32,B01,CAN,140.49,19.38,7.06,60.25,10.1,4.3,14.5,35.89,49.73289489746094,23.972095489501953,5.84030818939209,114.78408813476562,190.40142822265625
33,B02,CAN,102.34,13.1,7.72,54.61,8.1,4.8,12.3,23.32,43.73289489746094,14.722095489501953,13.34030818939209,109.53408813476562,188.65142822265625
34,B03,CAN,63.7,9.25,6.09,32.38,9.02,4.5,13.7,20.85,46.98289489746094,20.972095489501953,8.34030818939209,105.28408813476562,175.40142822265625
36,B05,CAN,106.62,17.78,11.51,53.78,9.61,5.8,12.5,16.61,55.98289489746094,24.722095489501953,6.84030818939209,142.53408813476562,238.40142822265625
37,B06,CAN,75.43,10.73,4.42,33.66,9.5,4.9,13,24.05,51.48289489746094,21.722095489501953,6.09030818939209,121.78408813476562,206.40142822265625
39,B08,CAN,113.36,14.28,7.96,58.91,7.93,4.6,12.3,27.15,66.23289489746094,17.972095489501953,16.090309143066406,127.78408813476562,214.40142822265625
40,B09,CAN,158.33,22.89,8,65.31,9.59,4.8,16.8,26.27,81.48289489746094,16.472095489501953,17.340309143066406,130.03408813476562,227.90142822265625
41,B10,CAN,86.31,12.55,6.14,39.05,9.9,5.5,14.8,24.44,69.73289489746094,19.222095489501953,4.84030818939209,124.28408813476562,222.90142822265625
42,B11,CAN,198.77,28.79,3.69,69.05,7.33,3,15.9,46.63,84.98289489746094,31.222095489501953,8.84030818939209,167.78408813476562,287.90142822265625
43,B12,CAN,144.25,20.81,7.55,60,8.96,4.1,15.3,24.77,NA,NA,NA,NA,NA
44,B13,CAN,477.91,70.53,13.22,165.88,11.6,4.3,20.4,47.79,99.48289489746094,38.22209548950195,14.59030818939209,244.78408813476562,409.15142822265625
46,B15,CAN,167.66,26.1,6.17,57.98,8.71,4.3,17.4,19.75,102.73289489746094,25.972095489501953,17.090309143066406,205.03408813476562,361.90142822265625
47,B16,CAN,312.85,45.42,10.61,114.84,13.28,6,17.8,52.96,95.23289489746094,21.222095489501953,10.09030818939209,181.53408813476562,316.15142822265625
48,B17,CAN,205.84,30.5,9.96,81.09,9.16,3.7,16,23.89,93.73289489746094,36.22209548950195,11.34030818939209,218.78408813476562,369.15142822265625
49,B18,CAN,303.12,44.37,10.03,109.44,14.96,13.1,17.3,57.52,94.23289489746094,28.472095489501953,20.840309143066406,228.03408813476562,385.65142822265625
50,B19,CAN,219.66,32.15,8.49,81.97,9.43,4.8,19.5,31.67,NA,NA,NA,NA,NA
51,B20,CAN,197.29,26.61,7.81,83.77,11.47,3.4,14.1,51.2,87.98289489746094,22.972095489501953,11.09030818939209,139.53408813476562,257.15142822265625
52,B21,CAN,195.27,27.99,10.77,81.84,10.98,3.8,15.3,32.37,77.23289489746094,29.222095489501953,3.59030818939209,165.03408813476562,285.65142822265625
53,B22,CAN,248.69,35.45,13.43,104.29,12.29,5.9,17.1,37.41,68.73289489746094,15.472095489501953,12.84030818939209,125.03408813476562,223.65142822265625
54,B23,CAN,242.02,33.82,10.36,98.55,12.02,7.2,16,46.23,74.23289489746094,29.722095489501953,10.59030818939209,220.28408813476562,364.90142822265625
55,B24,CAN,233.26,35.47,10.85,86.01,12.66,8,17.9,33.38,NA,NA,NA,NA,NA
56,B25,CAN,93.51,14.37,7.29,42.39,9.13,5.2,14.6,18.68,72.48289489746094,19.722095489501953,2.09030818939209,160.03408813476562,276.90142822265625
58,B27,CAN,58.04,7.65,4.52,29.4,10.12,7.6,12.7,31.38,46.73289489746094,23.972095489501953,10.34030818939209,121.78408813476562,201.15142822265625
61,B30,CAN,98.8,15.27,9.48,48.39,9.86,4.4,13.9,19.96,52.73289489746094,25.972095489501953,8.59030818939209,162.53408813476562,251.90142822265625
62,A01,GEN,59.46,8.04,5.13,31.78,10.39,4.2,14.2,27.59,50.23289489746094,14.722095489501953,9.34030818939209,87.534088134765625,144.90142822265625
63,A02,GEN,24.46,3.72,2.54,12.82,9.9,7.9,12.7,19.71,40.23289489746094,13.472095489501953,7.84030818939209,85.534088134765625,139.40142822265625
64,A03,GEN,44.11,7.03,2.96,17.69,13.48,12.2,14.8,27.37,43.48289489746094,4.472095489501953,9.34030818939209,61.784088134765625,118.40142822265625
66,A05,GEN,18.99,2.81,1.8,9.39,8.88,4.1,12.8,20.13,33.73289489746094,5.722095489501953,10.34030818939209,39.784088134765625,74.40142822265625
67,A06,GEN,67.11,11.32,4.9,26.45,13.48,8.1,16.7,23.81,35.48289489746094,8.222095489501953,7.09030818939209,80.784088134765625,134.15142822265625
68,A07,GEN,51.35,8.43,4.22,21.99,12.01,7.1,16.5,22.35,40.48289489746094,16.972095489501953,8.84030818939209,94.034088134765625,155.15142822265625
69,A08,GEN,39.93,5.68,3.68,20.12,10.85,9.6,13.6,26.82,19.732894897460938,9.472095489501953,6.09030818939209,50.284088134765625,79.15142822265625
