"","Variable","Estimate","Zvalue","pvalue"
"1","Intercept","-72.88 (17.18)","-4.24","<0.001"
"2","ba","2.19 (0.31)","7.11","<0.001"
"3","density","-0.01 (0.00)","-2.71","0.008"
"4","dem","0.04 (0.01)","4.86","<0.001"
"5","sh_c2","132.09 (32.55)","4.06","<0.001"
"6","ba by sh_c2","-4.48 (0.83)","-5.43","<0.001"
"7","DegreeFreedom","100","",""
"8","AIC","835","",""
"9","BIC","853","",""
"10","DevianceExplained","0.631","",""
