code,ws_plot,wb27_plot,wb2_plot,wr_plot,h_mean,h_min,h_max,dbh_mean,n_tree,id_plot,loc,type,size_m,size,ws,wb27,wb2,wr
A-3,5188.666749802964,842.5550665344334,600.5365708554283,2618.187,9.482477832816866,4.664723208119101,15.6,18.346938775510203,49,84,MON,cuadrado,20x20,400,129.7166687450741,21.063876663360833,15.013414271385706,65.454675
A01,1867.951939041,252.70322842420003,161.24502,998.4368108,10.3875,4.2,14.2,27.5925,8,62,GEN,circular,r=10,314.1593,59.4587503550269,8.043792700843174,5.1325878304414365,31.781227256363255
A02,768.486014199,117.02062081420002,79.7555,402.74304069999994,9.9,7.9,12.7,19.708333333333332,6,63,GEN,circular,r=10,314.1593,24.461666874066758,3.724881638525424,2.538696132821788,12.81970773107783
A024,2746.7164298790003,282.76037195820004,416.37466,2021.3568231999998,5.23,0.9,9.5,18.047333333333334,30,18,GEN,rectangular,30x10,300,91.55721432930001,9.425345731940002,13.879155333333335,67.37856077333332
A026,4600.91844,561.464552,340.337,2455.31,8.538461538461538,1.2,12,33.38461538461539,13,4,GEN,rectangular,30x10,300,153.36394800000002,18.715485066666666,11.344566666666667,81.84366666666666
A027,4476.119926275001,560.2645958950001,580.7548,2787.5637075,5.3892,0.3,11,15.605,50,20,GEN,rectangular,30x10,300,149.20399754250002,18.675486529833336,19.358493333333335,92.91879025
A028,4185.357685200001,545.5018621600001,471.09325,2405.0712399999998,6.9996875,0.5,13,19.8625,32,19,GEN,rectangular,30x10,300,139.51192284,18.183395405333336,15.703108333333333,80.16904133333333
A029,4355.759387124001,553.7976656792,407.32186,2382.4747374999997,5.521333333333334,0.23,13,16.8959375,32,3,GEN,rectangular,30x10,300,145.19197957080004,18.459922189306667,13.577395333333333,79.41582458333333
A03,1385.7138890370004,220.74314659460003,92.91626000000002,555.6145594999999,13.48,12.2,14.8,27.374000000000002,5,64,GEN,circular,r=10,314.1593,44.10863816659257,7.026471812058407,2.957616088398466,17.685758769515974
A031,1273.0840761870002,223.95970566460002,135.02032,553.5060102,5.043478260869565,0.3,16,9.036521739130436,23,31,GEN,rectangular,30x10,300,42.43613587290001,7.465323522153334,4.500677333333333,18.45020034
A032,3801.4468618050005,675.9388827690001,377.29568,1645.1246812,5.855737704918033,1,16,9.789508196721311,61,30,GEN,rectangular,30x10,300,126.71489539350002,22.531296092300003,12.576522666666666,54.83748937333333
A033,2317.886718786,418.34520219880005,343.2815,1202.7785483999999,4.1845070422535215,0.8,15,7.457746478873239,71,29,GEN,rectangular,30x10,300,77.2628906262,13.944840073293335,11.442716666666668,40.092618279999996
A034,2215.0886449140003,374.10221526120006,299.95691,1137.2141066,4.932978723404255,0.6,15,9.551489361702128,47,28,GEN,rectangular,30x10,300,73.8362881638,12.470073842040001,9.998563666666666,37.90713688666667
A035,3824.8905799800004,592.5712444840001,360.49338,1785.5450612999998,4.8056,0.5,17,10.4102,50,27,GEN,rectangular,30x10,300,127.49635266600002,19.752374816133337,12.016446,59.51816870999999
A036,7935.1419619260005,1253.1285862108002,543.16884,3166.2762703,6.551636363636364,0.2,17,14.244181818181818,55,23,GEN,rectangular,30x10,300,264.5047320642,41.77095287369334,18.105628000000003,105.54254234333334
A037,3359.3765135454005,519.3384525193201,298.21537,1523.6298505999998,4.507674418604651,0.24,17,9.956744186046512,43,24,GEN,rectangular,30x10,300,111.97921711818002,17.311281750644003,9.940512333333333,50.78766168666667
A038,1632.927281787,231.92630134460003,277.21062,1044.1191046,2.889090909090909,0.3,10,7.044363636363636,55,25,GEN,rectangular,30x10,300,54.430909392900006,7.730876711486668,9.240354,34.80397015333333
A039,1130.26362939,132.48204686200003,280.22595,937.0190400999999,3.1792682926829268,0.2,9.5,9.18658536585366,41,26,GEN,rectangular,30x10,300,37.675454312999996,4.416068228733335,9.340865,31.233968003333327
A040,2142.5986627146003,288.70362598868,365.37244000000004,1406.1252204999998,2.817941176470588,0.08,12,7.379852941176471,68,21,GEN,rectangular,30x10,300,71.41995542382001,9.623454199622667,12.179081333333334,46.87084068333333
A041,6661.0505382822,1095.2317037447601,610.86785,2923.5810460999996,5.569529411764706,0.4,17,10.762941176470589,85,22,GEN,rectangular,30x10,300,222.03501794273998,36.50772345815867,20.362261666666665,97.45270153666665
A05,596.5378979760001,88.3743783008,56.51844,294.8997623,8.875,4.1,12.8,20.1325,4,66,GEN,circular,r=10,314.1593,18.988388947136055,2.8130435196666155,1.7990376219962294,9.38694994227451
A06,2108.351620899,355.7395380742,153.83678,831.0959085,13.48,8.1,16.7,23.811,10,67,GEN,circular,r=10,314.1593,67.1109090483395,11.323539938948173,4.896776253321166,26.454601487207285
A07,1613.1151155240002,264.8346983992,132.54616000000001,690.9031415,12.011111111111111,7.1,16.5,22.352222222222224,9,68,GEN,circular,r=10,314.1593,51.347043220557225,8.429949340961738,4.219074845150216,21.992127608509442
A08,1254.362405247,178.5390078126,115.53666,632.0415815999999,10.85,9.6,13.6,26.82,6,69,GEN,circular,r=10,314.1593,39.927591042092345,5.683072498971064,3.677645703947011,20.118506171868855
A09,731.559488859,108.83328504219999,79.37666000000002,378.19797729999993,10,7.3,13.6,22.634,5,70,GEN,circular,r=10,314.1593,23.28625919586019,3.464270675488518,2.526637282423281,12.03841418350499
A12,1260.553618611,168.9513026838,159.32272,751.0478403999999,8.52,5.8,12.9,21.964,10,73,GEN,circular,r=10,314.1593,40.12466346248544,5.377886399791445,5.0713991277673465,23.906592623551173
A13,737.4092519745001,110.32036648210001,125.08857,515.0596022,7.457692307692308,5.7,9.6,14.410769230769231,13,74,GEN,circular,r=10,314.1593,23.472462918477987,3.5116059426571176,3.981692408914841,16.39485452762341
A14,1440.8805900375,204.35931586750004,190.88839000000002,850.8048263,8.903846153846153,5.7,11.9,20.763846153846153,13,75,GEN,circular,r=10,314.1593,45.86464860462511,6.504958340163735,6.076165499477495,27.081955756203936
A15,3121.6709894670003,462.7875138886001,288.5668,1486.0745041999999,8.789473684210526,3.2,14.4,21.26842105263158,19,76,GEN,circular,r=10,314.1593,99.36586277939251,14.730982462992506,9.185365513610453,47.30321541332693
A16,2797.1385190200003,441.22727111600005,218.87116,1215.502431,12.292307692307693,7.7,15.5,24.84,13,77,GEN,circular,r=10,314.1593,89.035674545366,14.044698696362008,6.966884634642362,38.69063978051899
A17,2295.834393438,376.54352086040006,191.49503,1002.4841111999999,10.643333333333333,6.5,15.4,19.490666666666666,15,78,GEN,circular,r=10,314.1593,73.07867038913061,11.98575120521341,6.095475448283723,31.910056815125316
A20,4082.4313321770005,718.6053248066,268.86248,1497.5979733,14.66842105263158,11.8,17.8,23.026842105263157,19,81,GEN,circular,r=10,314.1593,129.94781094104172,22.87391539281505,8.558157597117132,47.67001878664742
B-3,3373.3592587830135,470.7694564419567,435.2051055503593,2010.7229999999997,8.768905951283948,4.664723208119101,11.61264997467535,20.5,30,85,MON,cuadrado,20x20,400,84.33398146957533,11.769236411048919,10.880127638758982,50.26807499999999
B01,4413.667089375001,608.9754918750001,221.88674,1892.6802894999998,10.1,4.3,14.5,35.89125,8,32,CAN,circular,r=10,314.1593,140.4913713958174,19.384289813320827,7.062873516715883,60.24587811024534
B02,3215.079813843,411.5779215094001,242.68012000000002,1715.6135854,8.1,4.8,12.3,23.31714285714286,14,33,CAN,circular,r=10,314.1593,102.3391576771084,13.100930690557309,7.724747285851479,54.60967048882526
B03,2001.2280472710004,290.4554135118001,191.20440000000002,1017.1208333000001,9.023076923076923,4.5,13.7,20.85,13,34,CAN,circular,r=10,314.1593,63.701060171416245,9.245481942180293,6.086224409081637,32.37595809832783
B05,3349.562099904,558.4673380032001,361.56255000000004,1689.437178,9.613235294117647,5.8,12.5,16.605882352941176,34,36,CAN,circular,r=10,314.1593,106.61986132207451,17.776565519569218,11.50889214484499,53.77644965468156
B06,2369.5944057089996,336.9379727722,138.97316,1057.3373668,9.5,4.9,13,24.0525,8,37,CAN,circular,r=10,314.1593,75.42652424133234,10.725067593803526,4.4236525864426115,33.65608997728223
B08,3561.2847108270003,448.60491217660007,250.18644,1850.8097321999999,7.933333333333334,4.6,12.3,27.148333333333333,12,39,CAN,circular,r=10,314.1593,113.35920059749945,14.279536279097902,7.96368084599119,58.91309702434402
B09,4974.047799705,719.0977155890001,251.2204,2051.7381026999997,9.592307692307692,4.8,16.8,26.27307692307692,13,40,CAN,circular,r=10,314.1593,158.32884144142798,22.889588676477192,7.996592811353986,65.30884499360674
B10,2711.6192365740003,394.3186368892001,192.91761,1226.6394997999998,9.904545454545454,5.5,14.8,24.438181818181818,11,41,CAN,circular,r=10,314.1593,86.31351153933691,12.551550658828186,6.140757571079385,39.045143651644246
B11,6244.507951281,904.5768695698001,115.84019999999998,2169.1847605999997,7.333333333333334,3,15.9,46.63333333333333,3,42,CAN,circular,r=10,314.1593,198.76883960719928,28.79357286477912,3.687307681166847,69.04728781226594
B12,4531.650842466,653.8595991428001,237.29554000000002,1884.8214242,8.961538461538462,4.1,15.3,24.767692307692307,13,43,CAN,circular,r=10,314.1593,144.24691048350311,20.812995163370946,7.553350800055897,59.995722685911254
B13,15013.914704271001,2215.7292129118005,415.30558,5211.176584899999,11.6,4.3,20.4,47.791818181818186,11,44,CAN,circular,r=10,314.1593,477.90769537209314,70.52884358068663,13.219585732461208,165.87688427176914
B15,5267.320807536,819.9459007488001,193.97108,1821.601925,8.714285714285714,4.3,17.4,19.747142857142858,14,46,CAN,circular,r=10,314.1593,167.66401018642455,26.099685756519072,6.174290558961649,57.983383748308576
B16,9828.530090010001,1426.9060526580001,333.20564,3607.8607993999995,13.275,6,17.8,52.96,8,47,CAN,circular,r=10,314.1593,312.85179493365314,45.419825313399926,10.606263764911626,114.84176337927921
B17,6466.597627581001,958.1353265098,312.83992000000006,2547.3743724,9.155555555555555,3.7,16,23.891111111111112,18,48,CAN,circular,r=10,314.1593,205.8381727862585,30.498391310071046,9.958002834867537,81.08543571366502
B18,9522.663293736001,1393.9165995088001,314.99718,3438.1145656,14.957142857142857,13.1,17.3,57.52285714285714,7,49,CAN,circular,r=10,314.1593,303.1157534962677,44.36973852146985,10.02667054580272,109.43857353896576
B19,6900.979438467001,1009.8996752886002,266.69874,2575.0134696,9.427272727272728,4.8,19.5,31.670909090909092,11,50,CAN,circular,r=10,314.1593,219.66497373997845,32.146101525200756,8.489283621398444,81.96521540505088
B20,6198.142492485001,836.0138295130001,245.23164,2631.6825963999995,11.466666666666667,3.4,14.1,51.196666666666665,6,51,CAN,circular,r=10,314.1593,197.2929813787146,26.611143757736926,7.805964680975545,83.76904953633395
B21,6134.684339700001,879.4454042600001,338.50526,2571.150582,10.978571428571428,3.8,15.3,32.36571428571429,14,52,CAN,circular,r=10,314.1593,195.27304586240172,27.993613566747833,10.774955890212386,81.84225588737944
