"","Variable","Estimate","Zvalue","pvalue"
"1","Intercept","-1094.19 (292.09)","-3.75","<0.001"
"2","Ldensity","102.04 (44.97)","2.27","0.03"
"3","dem","0.31 (0.05)","6.77","<0.001"
"4","sh_c2","2617.14 (828.65)","3.16","0.002"
"5","Ldensity by sh_c2","-349.22 (122.01)","-2.86","0.005"
"6","DegreeFreedom","101","",""
"7","AIC","1196","",""
"8","BIC","1212","",""
"9","DevianceExplained","0.413","",""
