"","Variable","Estimate","Zvalue","pvalue"
"1","Intercept","-172.20 (44.40)","-3.88","<0.001"
"2","ba","5.30 (0.79)","6.68","<0.001"
"3","density","-0.02 (0.01)","-2.97","0.004"
"4","dem","0.08 (0.02)","3.51","<0.001"
"5","sh_c2","334.44 (84.10)","3.98","<0.001"
"6","ba by sh_c2","-9.27 (2.14)","-4.34","<0.001"
"7","DegreeFreedom","100","",""
"8","AIC","1036","",""
"9","BIC","1054","",""
"10","DevianceExplained","0.673","",""
