variables,N,NW,S
ws,182.89 (33.18) a,113.21 (11.41) a,117.18 (11.72) a
wb27,28.82 (5.37) a,17.49 (1.85) a,17.31 (1.69) a
wb2,8.75 (2.06) a,9.73 (0.74) a,8.63 (0.48) a
wr,65.52 (12.04) a,51.12 (4.26) a,52.46 (4.11) a
h_mean,14.69 (0.81) a,9.10 (0.55) b,7.81 (0.36) b
h_min,10.32 (1.49) a,4.02 (0.52) b,3.71 (0.31) b
h_max,18.54 (0.68) a,14.76 (0.40) b,13.89 (0.33) b
dbh_mean,39.36 (6.00) a,20.18 (1.24) b,20.88 (1.54) b
ba,35.99 (6.61) a,28.08 (2.34) a,28.81 (2.26) a
density,405.51 (165.87) a,898.86 (104.02) a,838.35 (106.01) a
