code,sh,shc,sh_c2,n_strata
A024,1.92308023197871,0.6397797028526099,0.4788836255896027,8
A026,1.818483163012365,0.6768860565840393,0.4679932369131813,7
A027,1.657600993481756,0.6901253481020267,0.5383366741790422,7
A028,1.6826492148124321,0.7157961842724662,0.5529920835569596,8
A029,1.9483122222153413,0.7696333508486426,0.6800549647714897,9
A031,1.6274741683311507,0.6670623398864292,0.5306379701309301,7
A032,1.513249576896469,0.47442021511277005,0.41791174658650565,10
A033,1.5642802896148948,0.5529514056548512,0.42515622880154513,8
A034,1.6922510172401337,0.6698564249344104,0.48566191023714556,7
A035,1.3699377145906935,0.6398528139244659,0.4732408005152258,6
A036,1.7264714838469455,0.5641034967429235,0.550216624302518,9
A037,1.2746351030819258,0.4961358987417688,0.46046152630572706,7
A038,1.2852397736978256,0.5467375317661585,0.4202520463527569,7
A039,1.382397214749731,0.564630505072587,0.44635479190624583,7
A040,1.2624166139798028,0.5306464783179905,0.4415994952460103,7
A041,1.4460228597203528,0.5348396390085128,0.4885525003758574,8
P007,1.617065322500455,0.5417954648136561,0.5224540269201697,9
P022,2.062069541300165,0.6667398526203228,0.640148801830972,10
P023,1.6101793416280354,0.5921638825171592,0.5216740842369231,9
P024,1.4071988585112192,0.4273349826881506,0.4758598541920542,8
P026,1.4220399783094493,0.7306981306493071,0.48822623730825426,6
P027,0.7878177818855013,0.28456320417944586,0.38659141367092664,8
P028,1.914690678028194,0.7128436311541495,0.5383916407496773,8
P030,1.911059049329703,0.6021161041376176,0.4469490264842618,8
P031,1.4774002778730904,0.4810864616795267,0.3631282514219381,8
P033,1.803719377768875,0.5735769647707522,0.46909595138698834,9
P034,0.8163531933134364,-0.036851276356270994,0.3224817104544253,7
P035,1.8413903748459726,0.5851379638831811,0.39237561155369366,7
P037,1.2139177396663225,-0.189655651727508,0.3242104343453005,7
P038,0.3902107160480621,0.3576000261821367,0.35288696874392567,6
CANAR_LOW,1.3670410686534602,0.5152935479413437,0.35468116003368805,7
CANAR_HIGH,0.7125919703542368,0.39876185515586327,0.2736573455572852,6
A12,1.6957425341696346,0.5983474685110244,0.3598054154294767,6
A13,1.1786549963416462,0.5613677950705184,0.30779184928157094,5
A14,1.3061066090853948,0.6826177088820624,0.32147923073090634,4
