"","PROVINCIA","ESTADILLO","NUMORDEN","ESPECIE","FRACCAB","ALTUMED"
"189",18,134,1,"116","2","4"
"190",18,134,2,"104","1","2"
"191",18,134,3,"129","1","1"
"192",18,135,1,"114","30","10"
"193",18,135,2,"101","5","10"
"194",18,135,3,"129","5","3"
"195",18,137,1,"114","20","10"
"196",18,137,2,"103","10","5"
"197",18,137,3,"104","5","20"
"198",18,137,4,"129","2","2"
"199",18,143,1,"114","20","10"
"200",18,143,2,"129","5","2"
"201",18,143,3,"103","2","10"
"202",18,151,1,"114","20","15"
"203",18,151,2,"129","10","2"
"204",18,151,3,"103","5","3"
"205",18,152,1,"114","30","10"
"206",18,152,2,"101","5","10"
"207",18,152,3,"129","5","3"
"208",18,155,1,"104","10","4"
"209",18,155,2,"114","10","5"
"210",18,155,3,"122","5","5"
"211",18,155,4,"129","1","2"
"212",18,157,1,"119","5","10"
"213",18,157,2,"129","5","2"
"214",18,160,1,"114","10","5"
"215",18,160,2,"129","10","2"
"216",18,160,3,"101","10","5"
"217",18,165,1,"114","30","15"
"218",18,165,2,"103","10","15"
"219",18,165,3,"104","5","2"
"220",18,165,4,"129","5","2"
"221",18,166,1,"114","30","10"
"222",18,166,2,"129","10","3"
"223",18,166,3,"116","5","10"
"224",18,166,4,"103","5","10"
"225",18,168,1,"129","2","1"
"226",18,170,1,"114","3","5"
"227",18,170,2,"103","1","1"
"228",18,170,3,"122","1","4"
"229",18,170,4,"129","1","1"
"230",18,171,1,"114","20","10"
"231",18,171,2,"101","10","5"
"232",18,171,3,"103","1","2"
"233",18,175,1,"114","20","10"
"234",18,175,2,"101","10","5"
"235",18,175,3,"129","5","3"
"236",18,176,1,"119","5","10"
"237",18,179,1,"114","5","8"
"238",18,180,1,"114","10","5"
"239",18,180,2,"129","5","2"
"240",18,180,3,"104","5","3"
"241",18,180,4,"105","5","6"
"242",18,180,5,"103","2","5"
"243",18,185,1,"114","10","10"
"244",18,186,1,"114","5","10"
"245",18,186,2,"129","5","5"
"246",18,186,3,"116","2","10"
"247",18,186,4,"122","1","2"
"248",18,187,1,"114","20","5"
"249",18,187,2,"104","5","3"
"250",18,188,1,"114","10","5"
"251",18,188,2,"104","1","1"
"252",18,190,1,"114","5","4"
"253",18,190,2,"129","2","1"
"254",18,190,3,"103","1","1"
"255",18,192,1,"129","2","2"
"256",18,194,1,"114","3","5"
"257",18,194,2,"104","2","2"
"258",18,194,3,"129","1","1"
"259",18,194,4,"101","1","2"
"260",18,196,1,"114","10","10"
"261",18,196,2,"103","5","10"
"262",18,196,3,"101","5","5"
"263",18,196,4,"129","3","2"
"264",18,197,1,"114","20","10"
"265",18,197,2,"103","5","5"
"266",18,197,3,"129","5","3"
"267",18,199,1,"114","20","10"
"268",18,199,2,"103","5","10"
"269",18,199,3,"101","2","4"
"270",18,199,4,"129","1","2"
"271",18,202,1,"129","15","3"
"272",18,202,2,"104","5","4"
"273",18,202,3,"116","5","5"
"274",18,202,4,"103","1","4"
"275",18,204,1,"129","10","3"
"276",18,204,2,"116","5","5"
"277",18,204,3,"122","1","3"
"278",18,206,1,"104","20","15"
"279",18,207,1,"104","20","3"
"280",18,207,2,"114","5","7"
"281",18,207,3,"101","3","5"
"282",18,208,1,"114","10","10"
"283",18,208,2,"104","10","5"
"284",18,208,3,"101","5","10"
"285",18,208,4,"129","2","2"
"286",18,210,1,"114","20","10"
"287",18,210,2,"103","2","10"
"288",18,210,3,"129","2","2"
"289",18,211,1,"103","5","10"
"290",18,212,1,"105","10","7"
"291",18,212,2,"114","5","5"
"292",18,212,3,"101","3","5"
"293",18,212,4,"129","2","1"
"294",18,214,1,"101","10","5"
"295",18,214,2,"129","10","2"
"296",18,214,3,"103","1","5"
"297",18,215,1,"114","20","4"
"298",18,215,2,"129","5","1"
"299",18,215,3,"122","1","5"
"300",18,216,1,"104","10","3"
"301",18,216,2,"114","5","6"
"302",18,216,3,"129","3","1"
"303",18,216,4,"119","2","7"
"304",18,217,1,"114","30","6"
"305",18,217,2,"129","5","1"
"306",18,218,1,"103","5","3"
"307",18,218,2,"129","3","1"
"308",18,218,3,"122","2","6"
"309",18,219,1,"103","10","4"
"310",18,219,2,"129","5","1"
"311",18,222,1,"114","25","6"
"312",18,222,2,"103","5","3"
"313",18,222,3,"129","3","1"
"314",18,224,1,"114","35","6"
"315",18,225,1,"114","15","7"
"316",18,225,2,"103","2","3"
"317",18,227,1,"103","5","6"
"318",18,227,2,"129","2","1"
"319",18,227,3,"122","2","3"
"320",18,230,1,"114","10","8"
"321",18,230,2,"129","1","1"
"322",18,230,3,"103","1","3"
"323",18,231,1,"114","3","5"
"324",18,231,2,"103","2","2"
"325",18,231,3,"129","2","1"
"326",18,236,1,"114","2","2"
"327",18,236,2,"104","1","1"
"328",18,236,3,"129","1","1"
"329",18,236,4,"103","1","2"
"330",18,239,1,"104","5","2"
"331",18,239,2,"129","1","1"
"332",18,239,3,"116","1","1"
"333",18,244,1,"114","20","5"
"334",18,244,2,"104","1","1"
"335",18,244,3,"129","1","1"
"336",18,245,1,"114","5","7"
"337",18,245,2,"129","1","1"
"338",18,245,3,"104","1","1"
"339",18,247,1,"103","3","2"
"340",18,247,2,"129","1","1"
"341",18,256,1,"114","3","3"
"342",18,257,1,"114","5","7"
"343",18,257,2,"129","2","1"
"344",18,257,3,"104","2","1"
"345",18,258,1,"114","3","5"
"346",18,258,2,"129","1","1"
"347",18,258,3,"122","1","10"
"348",18,261,1,"129","2","2"
"349",18,261,2,"103","2","1"
"350",18,261,3,"127","2","1"
"351",18,262,1,"114","3","5"
"352",18,262,2,"105","3","15"
"353",18,262,3,"103","1","2"
"354",18,262,4,"129","1","2"
"355",18,263,1,"103","25","2"
"356",18,263,2,"129","1","1"
"357",18,264,1,"105","15","10"
"358",18,264,2,"114","10","7"
"359",18,264,3,"103","1","1"
"360",18,264,4,"129","1","1"
"361",18,265,1,"114","15","7"
"362",18,265,2,"105","10","10"
"363",18,265,3,"101","1","1"
"364",18,266,1,"103","2","3"
"365",18,266,2,"129","1","1"
"366",18,271,1,"104","3","1"
"367",18,271,2,"129","2","1"
"368",18,274,1,"114","5","5"
"369",18,274,2,"105","3","10"
"370",18,274,3,"129","1","1"
"371",18,274,4,"101","1","2"
"372",18,274,5,"104","1","1"
"373",18,276,1,"114","20","10"
"374",18,276,2,"105","2","5"
"375",18,276,3,"129","1","1"
"376",18,276,4,"101","1","7"
"377",18,280,1,"114","20","12"
"378",18,280,2,"125","15","6"
"379",18,280,3,"103","10","8"
"380",18,280,4,"105","7","9"
"381",18,281,1,"114","15","5"
"382",18,281,2,"103","8","6"
"383",18,281,3,"105","7","6"
"384",18,283,1,"105","15","15"
"385",18,283,2,"114","15","10"
"386",18,283,3,"101","2","5"
"387",18,283,4,"103","2","2"
"388",18,284,1,"114","3","5"
"389",18,284,2,"104","3","2"
"390",18,284,3,"105","3","3"
"391",18,284,4,"101","1","3"
"392",18,285,1,"103","5","4"
"393",18,285,2,"114","5","7"
"394",18,285,3,"122","1","4"
"395",18,287,1,"114","10","7"
"396",18,287,2,"129","1","1"
"397",18,288,1,"114","5","2"
"398",18,288,2,"129","1","1"
"399",18,289,1,"114","30","10"
"400",18,289,2,"105","10","15"
"401",18,290,1,"114","10","10"
"402",18,290,2,"103","5","5"
"403",18,290,3,"105","5","5"
"404",18,290,4,"101","1","4"
"405",18,294,1,"105","7","15"
"406",18,294,2,"122","4","15"
"407",18,294,3,"114","1","4"
"408",18,296,1,"114","3","5"
"409",18,296,2,"103","1","1"
"410",18,296,3,"129","1","1"
"411",18,297,1,"127","1","2"
"412",18,297,2,"103","1","3"
"413",18,300,1,"114","20","8"
"414",18,301,1,"114","5","13"
"415",18,301,2,"103","5","3"
"416",18,301,3,"101","2","3"
"417",18,301,4,"105","2","15"
