"","PROVINCIA","ESTADILLO","NUMORDEN","TIPO","DIAMCOPA1","DIAMCOPA2","CORTEZA1","CORTEZA2","CRECIMI1","CRECIMI2","DIAMETR4","DIAMFF","ALTURFF","ALTUPV"
"1392",18,818,4,"4","5.4","5.1","9","7",NA,NA,NA,"15","1.4",NA
"1393",18,820,1,"1","7.0","5.8","25","24","10","14","12",NA,NA,NA
"1394",18,820,2,"2","7.2","5.4","19","25","12","12","12",NA,NA,NA
"1395",18,820,3,"3","5.0","5.2","21","20","12","9",NA,"8","3.5","1.4"
"1396",18,822,1,"1","4.3","4.9","7","6",NA,NA,"26",NA,NA,NA
"1397",18,822,2,"2","3.7","4.6","5","6",NA,NA,"24",NA,NA,NA
"1398",18,822,3,"3","4.3","2.9","6","5",NA,NA,"24",NA,NA,NA
"1399",18,822,4,"4","2.8","3.0","4","5",NA,NA,"12",NA,NA,NA
"1400",18,824,1,"1","4.4","4.4","36","37","9","7","16",NA,NA,NA
"1401",18,824,2,"2","5.1","5.5","31","34","13","11","22",NA,NA,NA
"1402",18,824,3,"3","5.5","5.2","39","36","10","10","27",NA,NA,NA
"1403",18,824,4,"4","3.3","3.4","27","29","12","10","13",NA,NA,NA
"1404",18,825,1,"1","8.3","7.7","43","48","9","10","28",NA,NA,NA
"1405",18,826,1,"1","2.8","2.2","5","3",NA,NA,"13",NA,NA,NA
"1406",18,826,2,"2","2.3","3.0","5","6",NA,NA,"13",NA,NA,NA
"1407",18,826,3,"3","1.8","2.1","3","5",NA,NA,"12",NA,NA,NA
"1408",18,826,4,"4","2.5","2.7","4","5",NA,NA,"13",NA,NA,NA
"1409",18,827,1,"1","3.8","3.5","4","3",NA,NA,"15",NA,NA,NA
"1410",18,827,2,"2","3.1","2.9","5","5",NA,NA,"11",NA,NA,NA
"1411",18,827,3,"3","3.9","3.2","5","7",NA,NA,"14",NA,NA,NA
"1412",18,827,4,"4","3.4","3.2","6","7",NA,NA,"14",NA,NA,NA
"1413",18,828,1,"1","6.0","5.8","9","7",NA,NA,"21",NA,NA,NA
"1414",18,828,2,"2","6.0","5.0","10","11",NA,NA,"22",NA,NA,NA
"1415",18,828,3,"3","5.5","4.1","10","8",NA,NA,"23",NA,NA,NA
"1416",18,828,4,"4","2.8","5.1","8","10",NA,NA,"25",NA,NA,NA
