"","PROVINCIA","ESTADILLO","ESTRATO","FECHGR","CODGR","NUMPMA","NUMTIP","NUMPME","NUMMAT","VERIFICA","FECHAVE","CODVE","HOJA","VUELO","FOTO","COORDEX","COORDEY","ANO","MUNICI","PROPIED1","PROPIED2","AREAPRO1","AREAPRO2","ALTITUD1","ALTITUD2","PENDIEN1","PENDIEN2","USO1","USO2","FRACCION1","FRACCION2","ESPECIA11","ESPECIA12","OCUPA11","OCUPA12","ESTADA11","ESTADA12","ESPECIA21","ESPECIA22","OCUPA21","OCUPA22","ESTADA21","ESTADA22","ESPECIA31","ESPECIA32","OCUPA31","OCUPA32","ESTADA31","ESTADA32","ESPECIB1","MASAB1","ORIGEB1","EDADB1","ESPECIB2","MASAB2","ORIGEB2","EDADB2","ESPECIB3","MASAB3","ORIGEB3","EDADB3","ESPECIE1","ESPECIE2","ESPECIE3","ESPECIE4","ESPECIE5","ESPECIE6","ESPECIE7","CLASUELO","ESPESOR","CLACOBER","CUBIERTA","MEROSIVA1","MEROSIVA2","MEROSIVA3","MEROSIVA4","DISESPAC","COMPESPE","PREPSUEL1","PREPSUEL2","TRAVUELO1","TRAVUELO2","CORTAS","DANOS1","DANOS2","DANOS3","ORIENTA1","ORIENTA2","MAXPEND1","MAXPEND2"
"1078",18,730,NA,960115,0,0,0,1,3,"S",960206,3,"0994","2","0994L98","522","4137","95","039","1","1","0","2","13","13","2","5","9","2","0","05","25","37","0","4","1","1",NA,"26",NA,"3",NA,"2",NA,"25",NA,"2",NA,"2","37","3","6",NA,"26","1","2","15","25","1","2","15","37","26","25","45",NA,NA,NA,"2","01","W","19",NA,NA,NA,"1","1","2",NA,"1",NA,"0","0",NA,NA,"01","240",NA,"7.50",NA
"1079",18,731,NA,960115,0,0,0,1,4,"S",960206,3,"0994","2","0994M06","415","4136","95","023","1","1","0","2","19","19","2","5","9","2","50","05","25","39","2","8","4","1",NA,"37",NA,"1",NA,"1",NA,"76",NA,"1",NA,"1","39","3","6",NA,"37","3","6",NA,"76","3","6",NA,"39","37","76","02",NA,NA,NA,"2","01","W","19",NA,NA,NA,"1","1","2",NA,"0",NA,"0","0",NA,NA,"01","60",NA,"11.50",NA
"1080",18,732,NA,960115,0,0,0,0,0,"S",960206,3,"0994","2","0994M07","516","4136","95","023","6","6","0","2","20","20","2",NA,"9","0","50","0","25",NA,"2",NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1081",18,733,NA,960101,13,18,4,1,3,"S",960118,12,"0994","2","0994M07","517","4136","95","023","1","1","0","2","16","16","2","5","9","1","0","60","25","26","0","9","1","3",NA,"15",NA,"1",NA,"2",NA,NA,NA,NA,NA,NA,"26","1","2","25","15","3","6",NA,NA,NA,NA,NA,"26","15",NA,NA,NA,NA,NA,"2","01","W","20",NA,NA,NA,"1","1","1",NA,"1",NA,"0","0",NA,NA,"P713","160",NA,"12.00",NA
"1082",18,734,NA,960101,13,31,4,2,4,"S",960118,12,"0994","2","0994M08","519","4136","95","023","1","1","0","2","15","15","1","5","9","1","0","70","25","26","0","4","1","3",NA,"25",NA,"3",NA,"3",NA,"15",NA,"1",NA,"2","26","1","2","24","25","1","2","25","15","3","6",NA,"26","25","15","58","57",NA,NA,"2","01","W","20",NA,NA,NA,"1","1","2",NA,"1",NA,"0","0",NA,NA,"P217","200",NA,"9.75",NA
"1083",18,735,NA,960115,0,9,4,1,1,"S",960206,3,"0994","2","0994M08","520","4136","95","023","1","1","0","2","14","14","2","4","9","1","0","30","25","25","0","7","1","2",NA,"26",NA,"3",NA,"4",NA,NA,NA,NA,NA,NA,"25","1","2","20","26","3","1",NA,NA,NA,NA,NA,"25","26",NA,NA,NA,NA,NA,"2","01","W","17",NA,NA,NA,"1","1","2",NA,"1",NA,"0","0",NA,NA,"01","355",NA,"5.50",NA
"1084",18,736,NA,960115,0,2,2,2,2,"S",960206,3,"0994","2","0994M09","521","4136","95","023","1","1","0","2","14","14","1","4","9","1","0","40","25","26","0","5","1","2",NA,"25",NA,"4",NA,"2",NA,"37",NA,"1",NA,"1","26","1","2","20","25","1","2","20","37","3","6",NA,"26","25","37",NA,NA,NA,NA,"2","01","W","19",NA,NA,NA,"1","1","2",NA,"1",NA,"0","0",NA,NA,"01","25",NA,"6.00",NA
"1085",18,737,NA,960115,0,2,2,0,3,"S",960206,3,"0994","2","0994M10","525","4136","95","039","5","5","0","2","11","11","1","4","9","1","0","25","24","24","0","0","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24","1","2","15",NA,NA,NA,NA,NA,NA,NA,NA,"24",NA,NA,NA,NA,NA,NA,"1","01","W","15",NA,"4","6","2","1","1",NA,"1",NA,"0","0",NA,NA,"01","165",NA,"5.00",NA
"1086",18,738,NA,960115,0,0,0,1,3,"S",960206,3,"0994","2","0994M11","526","4136","95","039","5","5","0","2","11","11","1","4","9","1","0","25","24","24","0","0","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24","1","2","15",NA,NA,NA,NA,NA,NA,NA,NA,"24",NA,NA,NA,NA,NA,NA,"2","01","W","18",NA,NA,NA,"1","1","1",NA,"1",NA,"0","0",NA,NA,"G204","385",NA,"6.25",NA
"1087",18,739,NA,960115,0,0,0,0,0,"S",960206,3,"0994","2","0994M11","527","4136","95","039","5","5","0","2","11","11","1",NA,"9","0","0",NA,"24",NA,"0",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
