"","COD_LINEA","ESTRATO","ESPECIE","LIT_LINEA","CANT_P_MA","AREAB","VCC","VSC","IAVC","VLE"
"303",1,5,25,"50",0.08,0.0154155,0.0508172,0.0383369,0.0012135,0.0063405
"304",2,5,25,"TOTALES",270.29,4.1507299,13.8517144,9.7278861,0.8225666,1.1072623
"305",3,5,25,"S2 (X)",199228.8,44.37,698.49,341.82,2.07,3.23
"306",1,5,26,"10",3.92,0.0259829,0.0537709,0.0337385,0.0045251,0.0055411
"307",1,5,26,"15",0.49,0.0066509,0.0148963,0.0094666,0.0012184,0.0015424
"308",1,5,26,"20",0.49,0.0172047,0.0470851,0.0301321,0.0029385,0.0044726
"309",2,5,26,"TOTALES",4.9,0.0498385,0.1157523,0.0733372,0.008682,0.0115561
"310",3,5,26,"S2 (X)",1273.82,0.08,0.44,0.17,0,0
"311",1,5,45,"10",35.26,0.2745523,0.467123,0.3277553,0,0.1521042
"312",1,5,45,"15",9.3,0.1550576,0.2966198,0.2292031,0,0.1060328
"313",1,5,45,"20",1.47,0.0412964,0.0691582,0.0538263,0,0.0326056
"314",1,5,45,"25",0.22,0.0088471,0.0234439,0.0193304,0,0.0077528
"315",1,5,45,"50",0.08,0.015539,0.0403281,0.0342142,0,0.0213235
"316",2,5,45,"TOTALES",46.33,0.4952924,0.896673,0.6643293,0,0.3198189
"317",3,5,45,"S2 (X)",35536.42,3.39,10.8,5.88,0,1.32
"318",1,5,58,"10",5.88,0.0443313,0.1253444,0.0189031,0.1028075,0.0152266
"319",2,5,58,"TOTALES",5.88,0.0443313,0.1253444,0.0189031,0.1028075,0.0152266
"320",3,5,58,"S2 (X)",2244.65,0.12,1.02,0.02,0.68,0.01
"321",4,5,0,"10",362.39,2.8416995,6.1741196,4.4134357,0.6490796,0.8150683
"322",4,5,0,"15",167.97,2.7619164,8.2044279,6.0091664,0.6542553,0.8485121
"323",4,5,0,"20",36.24,1.0700445,3.9847468,2.9574092,0.2109302,0.3410183
"324",4,5,0,"25",11.54,0.5445549,2.1588395,1.5816255,0.0798705,0.1749287
"325",4,5,0,"30",3.7,0.2595136,1.1852609,0.8753745,0.0347512,0.0864275
"326",4,5,0,"35",2.83,0.2633911,1.0951989,0.814237,0.0301703,0.0929335
"327",4,5,0,"40",0.65,0.0792971,0.330873,0.248084,0.0084088,0.0295495
"328",4,5,0,"45",0.55,0.0858503,0.4203186,0.3186859,0.0095961,0.0336923
"329",4,5,0,"50",0.16,0.0309545,0.0911453,0.0725511,0.0012135,0.027664
"330",5,5,0,"TOTALES",586.03,7.9372219,23.6449305,17.2905693,1.6782755,2.4497942
"331",6,5,0,"S2 (X)",354815.91,62.35,825.54,426.96,4.28,5.68
"332",1,6,21,"10",44.83,0.3427862,0.7135922,0.5559751,0.0635883,0.1024433
"333",1,6,21,"15",0.9,0.0132521,0.0319456,0.0253401,0.0032087,0.0041436
"334",1,6,21,"35",0.2,0.0218312,0.071963,0.0611151,0.0028189,0.0079014
"335",1,6,21,"40",0.2,0.0274086,0.1067812,0.0920493,0.0033002,0.0100867
"336",1,6,21,"50",0.07,0.0134993,0.0602796,0.0530664,0.0010923,0.0050832
"337",2,6,21,"TOTALES",46.2,0.4187774,0.9845616,0.787546,0.0740084,0.1296582
"338",3,6,21,"S2 (X)",37829.49,2.76,15.52,10,0.1,0.26
"339",1,6,24,"10",17.93,0.1242697,0.2899234,0.2117638,0.0243006,0.0323892
"340",1,6,24,"15",9.41,0.1652685,0.4663467,0.3239483,0.0247782,0.0502016
"341",1,6,24,"20",3.59,0.1056873,0.3196972,0.2263167,0.0130557,0.0349379
"342",1,6,24,"25",0.6,0.0267948,0.0961824,0.0701702,0.0034689,0.0094823
"343",1,6,24,"45",0.07,0.0107835,0.053608,0.0419989,0.0013387,0.0046619
"344",1,6,24,"55",0.07,0.0155579,0.0986075,0.0811427,0.0019266,0.007147
"345",2,6,24,"TOTALES",31.67,0.4483617,1.3243652,0.9553406,0.0688687,0.1388199
"346",3,6,24,"S2 (X)",11811.2,2.06,19.54,9.94,0.05,0.19
