"","COD_LINEA","ESTRATO","ESPECIE","LIT_LINEA","CANT_P_MA","AREAB","VCC","VSC","IAVC","VLE"
"99",3,2,26,"S2 (X)",189348.54,96.4,1354.2,593.08,4.21,6.34
"100",1,2,45,"10",34.51,0.2232564,0.4318536,0.2995305,0,0.1182852
"101",1,2,45,"15",2.68,0.0411841,0.0836493,0.0644189,0,0.0275104
"102",2,2,45,"TOTALES",37.19,0.2644405,0.5155029,0.3639494,0,0.1457956
"103",3,2,45,"S2 (X)",16736.74,0.76,3.14,1.58,0,0.23
"104",1,2,58,"10",1.19,0.0088842,0.0214708,0.0011899,0.0206345,0.003034
"105",1,2,58,"15",0.3,0.0066731,0.0192871,0.0116003,0.0058064,0.0024985
"106",1,2,58,"20",0.59,0.0176968,0.0479457,0.0314558,0.0120426,0.0067885
"107",1,2,58,"25",0.13,0.007542,0.0208719,0.0159644,0.0031367,0.003053
"108",1,2,58,"30",0.13,0.0091906,0.0382426,0.0311107,0.0038849,0.0037824
"109",1,2,58,"35",0.13,0.0142543,0.0462704,0.0380636,0.0042161,0.0060856
"110",1,2,58,"50",0.05,0.0094208,0.036243,0.0303849,0.0022379,0.0042316
"111",1,2,58,"60",0.05,0.0144166,0.0436653,0.0365789,0.0024707,0.0067101
"112",2,2,58,"TOTALES",2.57,0.0880784,0.2739968,0.1963485,0.0544298,0.0361837
"113",3,2,58,"S2 (X)",296.39,0.33,3.41,2.03,0.11,0.05
"114",1,2,99,"15",0.59,0.0100143,0.0287978,0.0218863,0.0038812,0.0037638
"115",1,2,99,"20",0.3,0.0079533,0.0305305,0.024583,0.0022146,0.003342
"116",2,2,99,"TOTALES",0.89,0.0179676,0.0593283,0.0464693,0.0060958,0.0071058
"117",3,2,99,"S2 (X)",46.98,0.02,0.27,0.17,0,0
"118",4,2,0,"10",238,1.9992988,5.0009387,3.4128199,0.4601014,0.5539112
"119",4,2,0,"15",282.9,4.9316498,16.7731258,11.6493249,1.2682009,1.3439058
"120",4,2,0,"20",126.43,3.7758096,15.0109316,10.64033,0.8107313,1.0591103
"121",4,2,0,"25",43.75,2.0539736,9.4893245,6.8609084,0.3651911,0.5900667
"122",4,2,0,"30",12.55,0.862645,4.4496705,3.3833267,0.1433146,0.267271
"123",4,2,0,"35",3.17,0.2977437,1.5605922,1.1921367,0.0435793,0.0953817
"124",4,2,0,"40",0.93,0.1082766,0.6617865,0.4921064,0.0160204,0.0357699
