"","CPROVINCIA","CESTADILLO","CESPECIE","CCDIAMETR","NARBOLES","NVCC","NVSC","NVLE","NIAVC","NAREAB"
"1",18,1,58,20,63.66,7.4043935,5.3602194,0.6325838,1.3901075,1.6674223
"2",18,1,58,25,127.32,49.035897,40.5092511,2.5360463,4.2372868,6.3319595
"3",18,1,58,30,70.73,46.1258181,38.6199773,1.8851188,3.057908,4.6051059
"4",18,1,58,35,14.14,9.0077683,7.5435906,0.5899383,0.6050756,1.3923887
"5",18,1,58,40,42.44,49.3849233,41.1076042,2.431135,2.459347,5.5991039
"6",18,2,45,10,127.32,1.1867615,0.7638421,0.2721295,0,0.5775925
"7",18,2,45,15,31.83,1.094684,0.8611017,0.4097031,0,0.5852224
"8",18,3,45,15,31.83,0.9508174,0.7402076,0.2832417,0,0.4389049
"9",18,3,45,20,31.83,1.5477823,1.2092787,0.7634442,0,0.9506232
"10",18,3,45,25,14.14,1.1429898,0.9341179,0.596794,0,0.656094
"11",18,3,45,30,14.14,1.6723126,1.39503,0.9987315,0,0.9800914
"12",18,4,25,15,31.83,1.1211514,0.7738625,0.112217,0.1126658,0.4658053
"13",18,4,25,25,14.14,3.2385651,2.3577545,0.2094901,0.1077874,0.6806192
"14",18,4,25,35,14.14,7.8161863,5.871186,0.561517,0.1945905,1.5417244
"15",18,4,45,30,14.14,1.9192414,1.609879,1.0647329,0,1.030217
"16",18,5,25,20,31.83,3.983013,2.7880136,0.3337862,0.1767702,1.1502545
"17",18,5,25,30,14.14,3.9741978,2.919713,0.3044575,0.1221763,0.9280035
"18",18,5,25,35,14.14,9.2925687,7.0127471,0.5293552,0.2211954,1.4681247
"19",18,5,25,40,14.14,11.1087619,8.4226767,0.6607398,0.252995,1.7644548
"20",18,6,25,20,31.83,4.9964961,3.5591546,0.354801,0.1971007,1.2099981
"21",18,6,25,25,14.14,3.698552,2.7090245,0.2337409,0.1168047,0.7453375
"22",18,6,25,30,42.44,16.5152191,12.2773749,1.0365153,0.4547284,3.091517
"23",18,6,25,40,14.14,10.3174283,7.8075934,0.7181172,0.2392667,1.8906107
"24",18,6,45,10,509.29,8.2362203,5.9842534,1.9949506,0,3.6499207
"25",18,6,45,15,254.64,8.5440451,6.7096278,2.6919094,0,4.0012394
"26",18,6,45,20,63.66,3.5907818,2.9007876,1.3048609,0,1.6809791
"27",18,6,45,25,28.29,2.4920661,2.0476834,1.3075831,0,1.4016762
"28",18,7,45,15,95.49,3.5132161,2.7326499,1.2200599,0,1.7395768
"29",18,7,45,20,31.83,1.7885966,1.4192487,0.8679772,0,1.0506235
"30",18,7,45,25,42.44,3.4555759,2.8255322,1.7968599,0,1.9737767
"31",18,7,45,35,14.14,2.1994411,1.8535484,1.3811857,0,1.2618671
"32",18,8,25,30,14.14,5.591978,4.1591331,0.3704717,0.1532275,1.0920154
"33",18,8,45,10,381.97,4.9838942,3.4864876,1.467651,0,2.6911837
"34",18,8,45,15,31.83,1.0083042,0.7885111,0.3057049,0,0.4658053
"35",18,9,25,25,14.14,2.9990876,2.1750347,0.2146297,0.1030665,0.694438
"36",18,9,25,30,14.14,6.8694762,5.1413324,0.3790787,0.1771727,1.1130166
"37",18,9,25,35,28.29,16.4089935,12.342618,0.95036,0.4032177,2.684389
"38",18,9,25,40,14.14,12.1512883,9.2348036,0.7097493,0.2707848,1.8723214
"39",18,9,45,45,5.09,3.0638703,2.6078151,1.0833855,0,0.8335753
"40",18,10,25,15,31.83,1.1976445,0.82646,0.1203148,0.1199869,0.4935046
"41",18,10,25,20,31.83,3.4437258,2.3780303,0.3319113,0.1658936,1.1448974
"42",18,10,25,25,70.73,13.9594673,10.0859225,0.9858605,0.494722,3.2358376
