"","PROVINCIA","ESTADILLO","NUMORDEN","ESPECIE","NUMERO","ALTUMED","REGENA"
"55",18,61,1,"45",NA,NA,"3"
"56",18,61,2,"37",NA,NA,"1"
"57",18,61,3,"15",NA,NA,"1"
"58",18,62,1,"45",NA,NA,"3"
"59",18,62,2,"37",NA,NA,"3"
"60",18,63,1,"45",NA,NA,"3"
"61",18,64,1,"45","9","20","3"
"62",18,64,2,"15",NA,NA,"3"
"63",18,64,3,"37",NA,NA,"1"
"64",18,67,1,"45",NA,NA,"3"
"65",18,67,2,"37","4","25","3"
"66",18,68,1,"37","4","15","3"
"67",18,68,2,"15",NA,NA,"2"
"68",18,68,3,"45",NA,NA,"1"
"69",18,72,1,"45","19","15","3"
"70",18,72,2,"37","4","15","3"
"71",18,74,1,"45","5","20","3"
"72",18,74,2,"37",NA,NA,"1"
"73",18,81,1,"25","1","15","1"
"74",18,81,2,"15","8","15","3"
"75",18,81,3,"45",NA,NA,"1"
"76",18,86,1,"45",NA,NA,"3"
"77",18,86,2,"37",NA,NA,"2"
"78",18,91,1,"25","1","30","1"
"79",18,91,2,"45","3","25","3"
"80",18,91,3,"15",NA,NA,"2"
"81",18,92,1,"45","8","25","3"
"82",18,92,2,"37",NA,NA,"2"
"83",18,93,1,"45","1","20","3"
"84",18,93,2,"37","2","20","2"
"85",18,98,1,"39",NA,NA,"1"
"86",18,103,1,"45","4","25","3"
"87",18,103,2,"37",NA,NA,"2"
"88",18,105,1,"37",NA,NA,"1"
"89",18,107,1,"45","4","20","3"
"90",18,107,2,"24","1","25","0"
"91",18,107,3,"37",NA,NA,"3"
"92",18,111,1,"45","2","25","3"
"93",18,111,2,"24",NA,NA,"1"
"94",18,113,1,"39",NA,NA,"2"
"95",18,113,2,"37",NA,NA,"2"
"96",18,117,1,"15","4","25","2"
"97",18,121,1,"24",NA,NA,"1"
"98",18,121,2,"45","4","20","2"
"99",18,121,3,"37","3","20","2"
"100",18,122,1,"24","1","20","1"
"101",18,122,2,"25","1","30","0"
"102",18,122,3,"37",NA,NA,"2"
"103",18,122,4,"45",NA,NA,"1"
"104",18,126,1,"25",NA,NA,"1"
"105",18,126,2,"39",NA,NA,"2"
"106",18,126,3,"37",NA,NA,"1"
"107",18,127,1,"39","2","20","3"
"108",18,127,2,"37",NA,NA,"3"
"109",18,132,1,"25",NA,NA,"1"
"110",18,134,1,"45",NA,NA,"3"
"111",18,134,2,"39",NA,NA,"1"
"112",18,135,1,"26",NA,NA,"1"
"113",18,135,2,"37",NA,NA,"2"
"114",18,135,3,"45",NA,NA,"1"
"115",18,137,1,"24","1","25","1"
"116",18,137,2,"25",NA,NA,"1"
"117",18,143,1,"45","7","30","3"
"118",18,143,2,"37","4","20","3"
"119",18,151,1,"37",NA,NA,"2"
"120",18,152,1,"45",NA,NA,"1"
"121",18,155,1,"24",NA,NA,"1"
"122",18,155,2,"45",NA,NA,"1"
"123",18,155,3,"39","1","20","3"
"124",18,155,4,"37",NA,NA,"3"
"125",18,160,1,"25",NA,NA,"1"
"126",18,160,2,"45","3","25","3"
"127",18,160,3,"37","1","20","2"
"128",18,166,1,"25",NA,NA,"1"
"129",18,166,2,"39","5","20","2"
"130",18,166,3,"37",NA,NA,"1"
"131",18,166,4,"45",NA,NA,"1"
"132",18,168,1,"45",NA,NA,"3"
"133",18,168,2,"37",NA,NA,"2"
"134",18,170,1,"24",NA,NA,"1"
"135",18,170,2,"39",NA,NA,"1"
"136",18,170,3,"37",NA,NA,"2"
"137",18,171,1,"24",NA,NA,"1"
"138",18,171,2,"37","2","20","3"
"139",18,175,1,"45","2","30","3"
"140",18,175,2,"37","1","20","3"
"141",18,176,1,"45","1","25","3"
"142",18,176,2,"15",NA,NA,"1"
"143",18,179,1,"25",NA,NA,"1"
"144",18,179,2,"45","1","20","1"
"145",18,179,3,"39",NA,NA,"2"
"146",18,179,4,"37",NA,NA,"2"
"147",18,180,1,"37",NA,NA,"3"
"148",18,185,1,"45",NA,NA,"3"
"149",18,185,2,"37",NA,NA,"2"
"150",18,186,1,"45",NA,NA,"2"
"151",18,186,2,"37","7","20","2"
"152",18,187,1,"24","1","20","1"
"153",18,187,2,"37",NA,NA,"3"
"154",18,188,1,"24",NA,NA,"3"
"155",18,188,2,"39","2","20","3"
"156",18,188,3,"37",NA,NA,"1"
"157",18,190,1,"24","1","30","0"
"158",18,192,1,"93","29","25","2"
"159",18,192,2,"15",NA,NA,"2"
"160",18,194,1,"26",NA,NA,"2"
"161",18,194,2,"45",NA,NA,"1"
"162",18,196,1,"24",NA,NA,"1"
"163",18,196,2,"45","6","30","3"
"164",18,196,3,"37",NA,NA,"3"
"165",18,197,1,"25","9","25","2"
"166",18,197,2,"24",NA,NA,"1"
"167",18,197,3,"37",NA,NA,"1"
"168",18,199,1,"24",NA,NA,"1"
"169",18,199,2,"45",NA,NA,"2"
"170",18,199,3,"37",NA,NA,"2"
"171",18,202,1,"25","1","20","0"
"172",18,202,2,"24",NA,NA,"2"
"173",18,202,3,"45",NA,NA,"1"
"174",18,206,1,"45",NA,NA,"2"
"175",18,206,2,"24",NA,NA,"1"
"176",18,206,3,"25",NA,NA,"1"
"177",18,206,4,"93",NA,NA,"1"
"178",18,206,5,"15",NA,NA,"2"
"179",18,207,1,"24","4","20","1"
"180",18,207,2,"45",NA,NA,"2"
"181",18,207,3,"37",NA,NA,"2"
"182",18,208,1,"24",NA,NA,"1"
"183",18,208,2,"45",NA,NA,"1"
"184",18,208,3,"37","4","20","3"
"185",18,208,4,"39",NA,NA,"1"
"186",18,208,5,"4",NA,NA,"1"
"187",18,210,1,"24","1","25","0"
"188",18,210,2,"39",NA,NA,"3"
"189",18,210,3,"37",NA,NA,"2"
"190",18,212,1,"24",NA,NA,"1"
"191",18,212,2,"45","1","25","3"
"192",18,212,3,"37",NA,NA,"2"
"193",18,214,1,"45","10","25","3"
"194",18,214,2,"37",NA,NA,"1"
"195",18,215,1,"24","3","25","1"
"196",18,216,1,"37","2","20","3"
"197",18,217,1,"37",NA,NA,"3"
"198",18,217,2,"39",NA,NA,"2"
"199",18,218,1,"45",NA,NA,"3"
"200",18,218,2,"37",NA,NA,"3"
"201",18,222,1,"25",NA,NA,"1"
"202",18,222,2,"37",NA,NA,"3"
"203",18,222,3,"45",NA,NA,"2"
"204",18,224,1,"24","1","25","2"
"205",18,224,2,"45","2","20","3"
"206",18,224,3,"37",NA,NA,"1"
"207",18,224,4,"39",NA,NA,"2"
"208",18,225,1,"45",NA,NA,"3"
"209",18,225,2,"37",NA,NA,"2"
"210",18,227,1,"37","8","25","3"
"211",18,230,1,"45","18","30","3"
"212",18,230,2,"24",NA,NA,"1"
"213",18,231,1,"45","5","20","3"
"214",18,231,2,"37","1","20","3"
"215",18,231,3,"39",NA,NA,"2"
"216",18,236,1,"39","11","20","2"
"217",18,236,2,"24",NA,NA,"1"
"218",18,236,3,"45",NA,NA,"2"
"219",18,239,1,"45","9","35","3"
"220",18,239,2,"25",NA,NA,"2"
"221",18,239,3,"37",NA,NA,"2"
"222",18,244,1,"39","2","20","3"
"223",18,244,2,"45",NA,NA,"2"
"224",18,244,3,"37",NA,NA,"1"
"225",18,245,1,"45","2","15","3"
"226",18,245,2,"37",NA,NA,"1"
"227",18,247,1,"45",NA,NA,"3"
"228",18,247,2,"37",NA,NA,"1"
"229",18,256,1,"24",NA,NA,"1"
"230",18,256,2,"39","1","16","3"
"231",18,256,3,"37",NA,NA,"3"
"232",18,256,4,"45",NA,NA,"1"
"233",18,257,1,"39",NA,NA,"2"
"234",18,257,2,"45",NA,NA,"2"
"235",18,257,3,"37",NA,NA,"3"
"236",18,258,1,"39","2","25","3"
"237",18,258,2,"45",NA,NA,"3"
"238",18,258,3,"24","1","20","0"
"239",18,258,4,"37",NA,NA,"2"
"240",18,261,1,"24",NA,NA,"1"
"241",18,261,2,"37",NA,NA,"1"
"242",18,262,1,"39","1","20","3"
"243",18,262,2,"45",NA,NA,"1"
"244",18,262,3,"37",NA,NA,"1"
"245",18,263,1,"24",NA,NA,"1"
"246",18,264,1,"37",NA,NA,"1"
"247",18,266,1,"24","1","35","0"
"248",18,271,1,"45","21","30","3"
"249",18,271,2,"37",NA,NA,"1"
"250",18,280,1,"37",NA,NA,"2"
"251",18,280,2,"39",NA,NA,"2"
"252",18,283,1,"24",NA,NA,"1"
"253",18,283,2,"45",NA,NA,"1"
"254",18,283,3,"37",NA,NA,"1"
"255",18,284,1,"24",NA,NA,"1"
"256",18,284,2,"45",NA,NA,"1"
"257",18,284,3,"37",NA,NA,"3"
"258",18,285,1,"24","2","30","0"
"259",18,285,2,"37",NA,NA,"2"
"260",18,289,1,"45",NA,NA,"1"
"261",18,290,1,"45","1","25","3"
"262",18,290,2,"24",NA,NA,"1"
"263",18,294,1,"93",NA,NA,"2"
"264",18,294,2,"37",NA,NA,"2"
"265",18,296,1,"37",NA,NA,"2"
"266",18,297,1,"58",NA,NA,"1"
"267",18,301,1,"45","1","25","3"
"268",18,301,2,"66",NA,NA,"1"
"269",18,303,1,"45",NA,NA,"3"
"270",18,303,2,"24",NA,NA,"2"
"271",18,305,1,"24",NA,NA,"1"
"272",18,305,2,"37",NA,NA,"2"
"273",18,306,1,"24","3","20","1"
"274",18,307,1,"24","1","25","1"
"275",18,307,2,"37",NA,NA,"2"
"276",18,308,1,"24","2","20","1"
"277",18,310,1,"24",NA,NA,"2"
"278",18,313,1,"37","2","20","3"
"279",18,314,1,"24",NA,NA,"1"
"280",18,315,1,"24","2","35","0"
"281",18,315,2,"37",NA,NA,"2"
"282",18,317,1,"45",NA,NA,"3"
"283",18,320,1,"45",NA,NA,"1"
"284",18,324,1,"24",NA,NA,"1"
"285",18,328,1,"24","1","30","2"
"286",18,335,1,"24","3","20","1"
"287",18,336,1,"24",NA,NA,"1"
"288",18,342,1,"24","1","30","0"
"289",18,343,1,"24","2","25","1"
"290",18,345,1,"24","4","20","1"
"291",18,347,1,"45","6","20","3"
"292",18,347,2,"37",NA,NA,"3"
"293",18,348,1,"45","14","25","3"
"294",18,348,2,"37",NA,NA,"1"
"295",18,351,1,"25",NA,NA,"1"
"296",18,351,2,"45",NA,NA,"3"
"297",18,352,1,"24",NA,NA,"3"
"298",18,352,2,"45",NA,NA,"1"
"299",18,353,1,"45",NA,NA,"2"
"300",18,353,2,"26",NA,NA,"1"
"301",18,356,1,"45","3","20","3"
"302",18,357,1,"45",NA,NA,"1"
"303",18,358,1,"24","11","40","1"
"304",18,359,1,"24","2","35","1"
"305",18,359,2,"37",NA,NA,"1"
"306",18,360,1,"24",NA,NA,"1"
"307",18,360,2,"37",NA,NA,"1"
"308",18,361,1,"24","3","35","1"
"309",18,362,1,"24","2","25","2"
"310",18,362,2,"37",NA,NA,"2"
"311",18,363,1,"24","4","30","1"
"312",18,363,2,"37",NA,NA,"2"
"313",18,364,1,"24","7","25","2"
"314",18,365,1,"24","11","30","1"
"315",18,365,2,"37",NA,NA,"2"
"316",18,365,3,"39",NA,NA,"3"
"317",18,368,1,"24","3","35","2"
"318",18,371,1,"24","7","35","1"
"319",18,371,2,"37",NA,NA,"1"
"320",18,372,1,"24",NA,NA,"3"
"321",18,379,1,"24","2","30","0"
"322",18,381,1,"53","22","30","3"
"323",18,384,1,"24","1","25","0"
"324",18,399,1,"45","3","25","3"
"325",18,405,1,"24","1","30","0"
"326",18,405,2,"53",NA,NA,"3"
"327",18,406,1,"45",NA,NA,"1"
"328",18,410,1,"24","4","30","1"
"329",18,416,1,"24",NA,NA,"2"
"330",18,416,2,"37",NA,NA,"1"
"331",18,418,1,"24",NA,NA,"2"
"332",18,418,2,"37",NA,NA,"3"
"333",18,423,1,"24",NA,NA,"1"
"334",18,423,2,"37",NA,NA,"1"
"335",18,430,1,"24","2","30","0"
"336",18,431,1,"24",NA,NA,"2"
"337",18,437,1,"24","2","30","1"
"338",18,437,2,"45","5","35","3"
"339",18,437,3,"37","4","15","3"
"340",18,438,1,"24",NA,NA,"1"
"341",18,438,2,"37",NA,NA,"3"
"342",18,439,1,"24",NA,NA,"1"
"343",18,439,2,"37",NA,NA,"3"
"344",18,439,3,"45",NA,NA,"2"
"345",18,440,1,"24",NA,NA,"1"
"346",18,440,2,"37",NA,NA,"3"
"347",18,440,3,"45","2","15","3"
"348",18,441,1,"37","3","15","3"
"349",18,444,1,"45","39","20","3"
"350",18,444,2,"37",NA,NA,"3"
"351",18,445,1,"24",NA,NA,"1"
"352",18,445,2,"45","7","25","3"
"353",18,446,1,"45",NA,NA,"3"
"354",18,446,2,"37","2","20","2"
"355",18,449,1,"45",NA,NA,"3"
"356",18,451,1,"45","20","20","3"
"357",18,451,2,"37",NA,NA,"1"
"358",18,458,1,"24","1","30","3"
"359",18,458,2,"45","6","30","3"
"360",18,458,3,"37",NA,NA,"1"
"361",18,459,1,"45",NA,NA,"3"
"362",18,459,2,"37",NA,NA,"3"
"363",18,461,1,"45",NA,NA,"3"
"364",18,461,2,"37",NA,NA,"3"
"365",18,462,1,"45","1","18","3"
"366",18,463,1,"45","20","20","3"
"367",18,463,2,"37",NA,NA,"1"
"368",18,465,1,"25","1","25","2"
"369",18,466,1,"25","1","17","1"
"370",18,467,1,"25",NA,NA,"2"
"371",18,468,1,"45",NA,NA,"3"
"372",18,468,2,"37",NA,NA,"2"
"373",18,469,1,"45",NA,NA,"3"
"374",18,470,1,"45","2","20","3"
"375",18,470,2,"37",NA,NA,"3"
"376",18,471,1,"45",NA,NA,"3"
"377",18,471,2,"37",NA,NA,"3"
"378",18,473,1,"45","4","25","3"
"379",18,474,1,"45","12","30","3"
"380",18,474,2,"37",NA,NA,"3"
"381",18,475,1,"45",NA,NA,"1"
"382",18,476,1,"45","6","20","3"
"383",18,476,2,"37",NA,NA,"3"
"384",18,477,1,"45","2","30","3"
"385",18,477,2,"37","1","20","1"
"386",18,478,1,"45",NA,NA,"3"
"387",18,479,1,"45",NA,NA,"3"
"388",18,480,1,"45","6","20","2"
"389",18,481,1,"45",NA,NA,"3"
"390",18,481,2,"24",NA,NA,"1"
"391",18,482,1,"45",NA,NA,"1"
"392",18,483,1,"45","32","30","3"
"393",18,483,2,"37",NA,NA,"1"
"394",18,484,1,"45","7","18","3"
"395",18,484,2,"37",NA,NA,"2"
"396",18,487,1,"45",NA,NA,"3"
"397",18,488,1,"45",NA,NA,"3"
"398",18,489,1,"45","35","30","3"
"399",18,491,1,"45","43","35","3"
"400",18,492,1,"45","22","20","3"
"401",18,493,1,"45",NA,NA,"3"
"402",18,493,2,"24",NA,NA,"2"
"403",18,494,1,"45","13","30","3"
"404",18,496,1,"45","9","18","3"
"405",18,497,1,"45","19","20","3"
"406",18,498,1,"45","3","20","3"
"407",18,500,1,"24","2","20","3"
"408",18,500,2,"37",NA,NA,"1"
"409",18,925,1,"26",NA,NA,"1"
"410",18,925,2,"45",NA,NA,"3"
"411",18,925,3,"37",NA,NA,"2"
"412",18,926,1,"45",NA,NA,"3"
"413",18,927,1,"45",NA,NA,"3"
"414",18,927,2,"37",NA,NA,"2"
"415",18,928,1,"45",NA,NA,"3"
"416",18,928,2,"37",NA,NA,"3"
"417",18,928,3,"24",NA,NA,"1"
"418",18,929,1,"26",NA,NA,"2"
"419",18,930,1,"24",NA,NA,"1"
"420",18,930,2,"45",NA,NA,"1"
"421",18,931,1,"45","4","25","3"
"422",18,932,1,"24",NA,NA,"1"
"423",18,939,1,"45",NA,NA,"3"
"424",18,941,1,"26",NA,NA,"2"
"425",18,942,1,"45",NA,NA,"1"
"426",18,943,1,"24",NA,NA,"1"
"427",18,943,2,"45","1","20","3"
"428",18,943,3,"37",NA,NA,"3"
"429",18,943,4,"39",NA,NA,"2"
"430",18,946,1,"45",NA,NA,"3"
"431",18,950,1,"37",NA,NA,"3"
"432",18,950,2,"26",NA,NA,"2"
"433",18,952,1,"45","19","25","3"
"434",18,952,2,"37",NA,NA,"2"
"435",18,953,1,"45","11","25","3"
"436",18,955,1,"45","5","35","3"
"437",18,955,2,"15",NA,NA,"1"
"438",18,957,1,"45","1","20","3"
"439",18,957,2,"37",NA,NA,"1"
"440",18,958,1,"24",NA,NA,"1"
"441",18,958,2,"26",NA,NA,"1"
"442",18,960,1,"26","1","14","0"
"443",18,961,1,"26",NA,NA,"1"
"444",18,963,1,"37",NA,NA,"2"
"445",18,963,2,"4",NA,NA,"3"
"446",18,964,1,"24",NA,NA,"2"
"447",18,965,1,"37",NA,NA,"3"
"448",18,968,1,"45",NA,NA,"1"
"449",18,970,1,"45","7","35","3"
"450",18,970,2,"25",NA,NA,"1"
"451",18,972,1,"45","9","35","3"
"452",18,972,2,"15",NA,NA,"2"
"453",18,975,1,"26",NA,NA,"2"
"454",18,975,2,"45",NA,NA,"1"
"455",18,978,1,"45",NA,NA,"3"
"456",18,978,2,"37",NA,NA,"1"
"457",18,980,1,"45","10","35","3"
"458",18,980,2,"37",NA,NA,"3"
"459",18,981,1,"45",NA,NA,"3"
"460",18,987,1,"45","14","30","3"
"461",18,987,2,"15",NA,NA,"1"
"462",18,990,1,"45","19","20","3"
"463",18,998,1,"45","15","25","3"
"464",18,998,2,"24","1","20","0"
"465",18,1000,1,"26","1","25","0"
"466",18,1000,2,"45","20","35","3"
"467",18,1000,3,"15",NA,NA,"1"
"468",18,1456,1,"37",NA,NA,"3"
"469",18,1457,1,"45",NA,NA,"3"
"470",18,1461,1,"26",NA,NA,"2"
"471",18,1461,2,"37",NA,NA,"2"
"472",18,1461,3,"24",NA,NA,"1"
"473",18,1461,4,"45",NA,NA,"1"
"474",18,1464,1,"76","3","40","1"
"475",18,1464,2,"2","11","45","3"
"476",18,1464,3,"37",NA,NA,"1"
"477",18,1466,1,"37",NA,NA,"3"
"478",18,1467,1,"37",NA,NA,"1"
"479",18,1470,1,"39",NA,NA,"1"
"480",18,1477,1,"26",NA,NA,"1"
"481",18,1482,1,"39","3","20","1"
"482",18,1484,1,"45","4","25","3"
"483",18,1,1,"51",NA,NA,"2"
"484",18,1,2,"15",NA,NA,"2"
"485",18,10,1,"45","12","30","3"
"486",18,10,2,"37",NA,NA,"1"
"487",18,11,1,"25",NA,NA,"1"
"488",18,11,2,"45","5","25","3"
"489",18,11,3,"15",NA,NA,"2"
"490",18,11,4,"37",NA,NA,"1"
"491",18,11,5,"76",NA,NA,"1"
"492",18,14,1,"25","1","20","1"
"493",18,14,2,"45","4","30","3"
"494",18,14,3,"15",NA,NA,"1"
"495",18,15,1,"25",NA,NA,"2"
"496",18,15,2,"45","3","20","3"
"497",18,15,3,"37",NA,NA,"1"
"498",18,17,1,"45","2","20","3"
"499",18,17,2,"15",NA,NA,"1"
"500",18,17,3,"37",NA,NA,"2"
"501",18,21,1,"25",NA,NA,"1"
"502",18,21,2,"45",NA,NA,"1"
"503",18,21,3,"37","1","15","3"
"504",18,24,1,"25","1","20","3"
"505",18,24,2,"45",NA,NA,"1"
"506",18,24,3,"15",NA,NA,"1"
"507",18,25,1,"25",NA,NA,"3"
"508",18,25,2,"45",NA,NA,"1"
"509",18,25,3,"37",NA,NA,"3"
"510",18,25,4,"15",NA,NA,"1"
"511",18,26,1,"45","3","30","3"
"512",18,26,2,"15","4","30","3"
"513",18,27,1,"45","1","25","3"
"514",18,27,2,"15",NA,NA,"3"
"515",18,33,1,"25",NA,NA,"1"
"516",18,33,2,"45",NA,NA,"3"
"517",18,33,3,"37",NA,NA,"1"
"518",18,35,1,"25",NA,NA,"1"
"519",18,35,2,"45",NA,NA,"2"
"520",18,46,1,"37",NA,NA,"3"
"521",18,47,1,"25",NA,NA,"1"
"522",18,47,2,"45",NA,NA,"1"
"523",18,47,3,"37",NA,NA,"3"
"524",18,47,4,"39",NA,NA,"1"
"525",18,48,1,"24","2","20","2"
"526",18,48,2,"37",NA,NA,"3"
"527",18,48,3,"45",NA,NA,"3"
"528",18,49,1,"24","2","30",NA
"529",18,49,2,"45","3","25","3"
"530",18,49,3,"37",NA,NA,"3"
"531",18,55,1,"24",NA,NA,"1"
"532",18,55,2,"37","3","20","3"
"533",18,55,3,"45",NA,NA,"3"
"534",18,60,1,"25",NA,NA,"2"
"535",18,60,2,"45",NA,NA,"3"
"536",18,60,3,"37","2","15","1"
"537",18,70,1,"45","2","20","3"
"538",18,70,2,"25",NA,NA,"1"
"539",18,70,3,"37",NA,NA,"1"
"540",18,71,1,"25","3","20","1"
"541",18,71,2,"45",NA,NA,"3"
"542",18,71,3,"37",NA,NA,"1"
"543",18,73,1,"45","2","15","3"
"544",18,73,2,"37","1","20","3"
"545",18,75,1,"25",NA,NA,"2"
"546",18,75,2,"45",NA,NA,"3"
"547",18,75,3,"15",NA,NA,"3"
"548",18,77,1,"37",NA,NA,"3"
"549",18,78,1,"25","1","20","1"
"550",18,78,2,"37",NA,NA,"3"
"551",18,78,3,"45",NA,NA,"3"
"552",18,80,1,"45","6","30","3"
"553",18,80,2,"25","1","20",NA
"554",18,80,3,"37","1","20","1"
"555",18,82,1,"25","1","20","3"
"556",18,82,2,"45",NA,NA,"1"
"557",18,85,1,"45","1","20","3"
"558",18,85,2,"37","1","20","1"
"559",18,85,3,"15",NA,NA,"1"
"560",18,87,1,"25","1","35","1"
"561",18,87,2,"24","1","30","0"
"562",18,87,3,"45",NA,NA,"3"
"563",18,87,4,"37","4","25","3"
"564",18,95,1,"25","1","35","1"
"565",18,95,2,"45",NA,NA,"1"
"566",18,96,1,"25","1","25","0"
"567",18,96,2,"45",NA,NA,"2"
"568",18,97,1,"25","3","25","2"
"569",18,100,1,"25","1","40","0"
"570",18,100,2,"45","32","35","3"
"571",18,100,3,"24",NA,NA,"1"
"572",18,104,1,"25","2","20","1"
"573",18,104,2,"24",NA,NA,"1"
"574",18,104,3,"45",NA,NA,"1"
"575",18,112,1,"24","1","40","2"
"576",18,112,2,"25",NA,NA,"1"
"577",18,112,3,"45",NA,NA,"3"
"578",18,114,1,"25",NA,NA,"1"
"579",18,114,2,"37","5","20","2"
"580",18,114,3,"45",NA,NA,"2"
"581",18,120,1,"24","1","30","1"
"582",18,120,2,"37",NA,NA,"3"
"583",18,120,3,"45",NA,NA,"1"
"584",18,123,1,"24","1","30","1"
"585",18,125,1,"24",NA,NA,"1"
"586",18,125,2,"25","2","20","1"
"587",18,125,3,"37",NA,NA,"2"
"588",18,125,4,"39",NA,NA,"1"
"589",18,136,1,"24",NA,NA,"1"
"590",18,136,2,"37",NA,NA,"2"
"591",18,136,3,"45",NA,NA,"1"
"592",18,145,1,"37","3","20","2"
"593",18,148,1,"39","4","25","2"
"594",18,154,1,"25","2","30","0"
"595",18,154,2,"37",NA,NA,"1"
"596",18,154,3,"45",NA,NA,"1"
"597",18,161,1,"25",NA,NA,"1"
"598",18,161,2,"37","1","25","3"
"599",18,163,1,"25","1","25","0"
"600",18,163,2,"45",NA,NA,"1"
"601",18,163,3,"15",NA,NA,"1"
"602",18,163,4,"37",NA,NA,"1"
"603",18,169,1,"25","2","30","1"
"604",18,169,2,"39",NA,NA,"1"
"605",18,169,3,"37",NA,NA,"1"
"606",18,169,4,"45",NA,NA,"1"
"607",18,169,5,"15",NA,NA,"2"
"608",18,177,1,"45",NA,NA,"3"
"609",18,178,1,"25","10","30","2"
"610",18,178,2,"45","1","30","3"
"611",18,178,3,"15",NA,NA,"1"
"612",18,189,1,"24","2","20","1"
"613",18,189,2,"37",NA,NA,"2"
"614",18,209,1,"24",NA,NA,"1"
"615",18,209,2,"37",NA,NA,"3"
"616",18,221,1,"25","5","25","1"
"617",18,221,2,"37",NA,NA,"2"
"618",18,221,3,"45",NA,NA,"1"
"619",18,229,1,"39",NA,NA,"1"
"620",18,229,2,"37",NA,NA,"1"
"621",18,233,1,"24","7","40","1"
"622",18,233,2,"45","8","35","3"
"623",18,233,3,"15",NA,NA,"1"
"624",18,233,4,"37",NA,NA,"1"
"625",18,234,1,"25","1","25","1"
"626",18,234,2,"45",NA,NA,"3"
"627",18,234,3,"37",NA,NA,"1"
"628",18,234,4,"15",NA,NA,"1"
"629",18,237,1,"25","2","35","1"
"630",18,237,2,"45","1","30","3"
"631",18,237,3,"15",NA,NA,"2"
"632",18,238,1,"45","4","30","3"
"633",18,238,2,"15",NA,NA,"3"
"634",18,242,1,"24","1","45","0"
"635",18,242,2,"37",NA,NA,"1"
"636",18,242,3,"4",NA,NA,"3"
"637",18,243,1,"45",NA,NA,"3"
"638",18,243,2,"37",NA,NA,"1"
"639",18,249,1,"24",NA,NA,"2"
"640",18,249,2,"45","1","20","3"
"641",18,251,1,"24",NA,NA,"2"
"642",18,251,2,"45",NA,NA,"3"
"643",18,251,3,"37","3","20","3"
"644",18,251,4,"39",NA,NA,"2"
"645",18,253,1,"24",NA,NA,"1"
"646",18,253,2,"37","1","20","3"
"647",18,253,3,"45",NA,NA,"3"
"648",18,253,4,"39",NA,NA,"1"
"649",18,254,1,"24","3","35","1"
"650",18,254,2,"45","4","25","3"
"651",18,254,3,"37",NA,NA,"1"
"652",18,255,1,"24",NA,NA,"1"
"653",18,255,2,"39",NA,NA,"2"
"654",18,255,3,"37","2","20","2"
"655",18,255,4,"45",NA,NA,"3"
"656",18,309,1,"24","1","65","2"
"657",18,309,2,"37",NA,NA,"2"
"658",18,309,3,"45",NA,NA,"2"
"659",18,311,1,"24","3","30","1"
"660",18,318,1,"24",NA,NA,"2"
"661",18,318,2,"45",NA,NA,"3"
"662",18,327,1,"45",NA,NA,"1"
