"","PROVINCIA","ESTADILLO","NUMORDEN","ESPECIE","NUMERO","ALTUMED","REGENA"
"1",18,2,1,"45","8","20","3"
"2",18,3,1,"45",NA,NA,"1"
"3",18,3,2,"15",NA,NA,"1"
"4",18,4,1,"45",NA,NA,"3"
"5",18,5,1,"25",NA,NA,"1"
"6",18,5,2,"45","5","35","3"
"7",18,5,3,"37",NA,NA,"2"
"8",18,8,1,"25",NA,NA,"1"
"9",18,8,2,"45","1","20","3"
"10",18,8,3,"15",NA,NA,"3"
"11",18,8,4,"37",NA,NA,"3"
"12",18,9,1,"45","17","20","3"
"13",18,9,2,"15","3","20","2"
"14",18,16,1,"25",NA,NA,"1"
"15",18,16,2,"37",NA,NA,"3"
"16",18,16,3,"15",NA,NA,"1"
"17",18,18,1,"45","2","20","3"
"18",18,18,2,"15",NA,NA,"2"
"19",18,19,1,"45",NA,NA,"3"
"20",18,19,2,"15",NA,NA,"2"
"21",18,19,3,"37",NA,NA,"3"
"22",18,19,4,"76",NA,NA,"1"
"23",18,20,1,"25",NA,NA,"1"
"24",18,20,2,"45","10","30","3"
"25",18,20,3,"37",NA,NA,"1"
"26",18,28,1,"37",NA,NA,"3"
"27",18,29,1,"25",NA,NA,"2"
"28",18,29,2,"37",NA,NA,"3"
"29",18,30,1,"45","34","20","3"
"30",18,31,1,"45",NA,NA,"3"
"31",18,31,2,"44","3","20","1"
"32",18,34,1,"25","13","25","2"
"33",18,34,2,"45",NA,NA,"2"
"34",18,37,1,"45",NA,NA,"3"
"35",18,37,2,"37",NA,NA,"3"
"36",18,38,1,"45","8","20","3"
"37",18,38,2,"37",NA,NA,"3"
"38",18,39,1,"45",NA,NA,"3"
"39",18,39,2,"37","1","15","3"
"40",18,42,1,"25","3","25","2"
"41",18,42,2,"45",NA,NA,"1"
"42",18,43,1,"25","3","15","2"
"43",18,43,2,"37","1","15","3"
"44",18,43,3,"15",NA,NA,"3"
"45",18,44,1,"37",NA,NA,"3"
"46",18,44,2,"45",NA,NA,"3"
"47",18,44,3,"15",NA,NA,"2"
"48",18,53,1,"37",NA,NA,"3"
"49",18,54,1,"25","1","15",NA
"50",18,54,2,"37","1","15","3"
"51",18,58,1,"45","5","15","3"
"52",18,58,2,"15",NA,NA,"1"
"53",18,59,1,"45",NA,NA,"2"
"54",18,59,2,"15",NA,NA,"2"
