id,sp,height,db,dbh,dis,rumbo_c,rumbo,plot,obs
1,Quercus pyrenaica,17.8,68,62,7.03,212,32,CAM_H1,"árbol 2, parcela fenología"
2,Quercus pyrenaica,16.2,73,67,14.36,250,70,CAM_H1,
3,Quercus pyrenaica,15.4,65,61,10.82,30,210,CAM_H1,
4,Quercus pyrenaica,14.5,54,51,6.54,48,228,CAM_H1,
5,Quercus pyrenaica,15.6,81,66,14.74,110,290,CAM_H1,
6,Quercus pyrenaica,15.4,51,48,6.38,158,338,CAM_H1,
7,Quercus pyrenaica,14.9,38.5,36,8.02,79,259,CAM_H2,
8,Quercus pyrenaica,16.4,23,22.5,15.82,85,265,CAM_H2,
9,Quercus pyrenaica,15.8,28,26.5,16.05,88,268,CAM_H2,
10,Quercus pyrenaica,17.1,31.5,27,17.32,90,270,CAM_H2,
11,Quercus pyrenaica,18.1,30.5,28,18.49,86,266,CAM_H2,
12,Acer opalus granatensis,9.8,31,28.5,19.22,108,288,CAM_H2,
13,Acer opalus granatensis,8.7,24,21,19.6,110,290,CAM_H2,
14,Acer opalus granatensis,8.1,19.5,17.2,19.82,98,278,CAM_H2,
15,Crataegus ,5.1,8.5,7.6,17.75,80,260,CAM_H2,
16,Sorbus aria,8.2,17.2,16.5,12.47,116,296,CAM_H2,
17,Sorbus aria,5.4,12,11.5,13.4,120,300,CAM_H2,
18,Sorbus aria,5.1,11,10.2,14,121,301,CAM_H2,
19,Sorbus aria,7.9,18.5,17,13.5,125,305,CAM_H2,
20,Quercus pyrenaica,17.6,44,37,14.1,130,310,CAM_H2,
21,Sorbus aria,12.7,16.5,15,14.36,134,314,CAM_H2,
22,Quercus pyrenaica,16.5,46.5,45,15.92,142,322,CAM_H2,
23,Quercus pyrenaica,20.6,58.5,50.6,15.05,170,350,CAM_H2,
24,Acer opalus granatensis,9.6,20.5,19,10.49,164,344,CAM_H2,
25,Quercus pyrenaica,18.7,58,49.2,7.48,162,342,CAM_H2,
26,Quercus pyrenaica,17.5,39.1,36.2,4.91,152,332,CAM_H2,
27,Acer opalus granatensis,10.8,25.4,21.2,3.13,120,300,CAM_H2,
